"","x"
"3183","HYAL3"
"3184","NAT6"
"3185","HYAL1"
"3186","HYAL2"
"3187","TUSC2"
"3188","RASSF1"
"3189","ZMYND10"
"3190","NPRL2"
"3191","CYB561D2"
"3192","TMEM115"
"3193","CACNA2D2"
"3194","CYB561D2"
"3195","C3orf18"
"3196","HEMK1"
"3197","CISH"
"3198","MAPKAPK3"
"3199","DOCK3"
"3200","MANF"
"3201","RBM15B"
"3202","RAD54L2"
"3203","TEX264"
"3204","GRM2"
"3205","IQCF1"
"3206","RRP9"
"3207","PARP3"
"3208","GPR62"
"3209","PCBP4"
"3210","ABHD14B"
"3211","ABHD14A"
"3212","ACY1"
"3213","RPL29"
"3214","DUSP7"
"3215","POC1A"
"3216","ALAS1"
"3217","TLR9"
"3218","TWF2"
"3219","PPM1M"
"3220","WDR82"
"3221","GLYCTK"
"3222","DNAH1"
"3223","BAP1"
"3224","PHF7"
"3225","SEMA3G"
"3226","TNNC1"
"3227","NISCH"
"3228","STAB1"
"3229","NT5DC2"
"3230","SMIM4"
"3231","PBRM1"
"3232","GNL3"
"3233","GLT8D1"
"3234","SPCS1"
"3235","NEK4"
"3236","ITIH1"
"3237","ITIH3"
"3238","ITIH4"
"3239","MUSTN1"
"3240","TMEM110"
"3241","SFMBT1"
"3242","RFT1"
"3243","PRKCD"
"3244","TKT"
"3245","DCP1A"
"3246","CACNA1D"
"3247","CHDH"
"3248","IL17RB"
"3249","ACTR8"
"3250","CACNA2D3"
"3251","WNT5A"
"3252","ERC2"
"3253","CCDC66"
"3254","FAM208A"
"3255","ARHGEF3"
"3256","SPATA12"
"3257","IL17RD"
"3258","HESX1"
"3259","APPL1"
"3260","ASB14"
"3261","DNAH12"
"3262","PDE12"
"3263","ARF4"
"3264","DENND6A"
"3265","SLMAP"
"3266","FLNB"
"3267","DNASE1L3"
"3268","ABHD6"
"3269","RPP14"
"3270","PXK"
"3271","PDHB"
"3272","KCTD6"
"3273","ACOX2"
"3274","FAM107A"
"3275","FAM3D"
"3276","C3orf67"
"3277","FHIT"
"3278","PTPRG"
"3279","C3orf14"
"3280","CADPS"
"3281","SYNPR"
"3282","C3orf49"
"3283","THOC7"
"3284","ATXN7"
"3285","PSMD6"
"3286","PRICKLE2"
"3287","ADAMTS9"
"3288","MAGI1"
"3289","SLC25A26"
"3290","LRIG1"
"3291","KBTBD8"
"3292","SUCLG2"
"3293","FAM19A1"
"3294","FAM19A4"
"3295","EOGT"
"3296","TMF1"
"3297","UBA3"
"3298","ARL6IP5"
"3299","LMOD3"
"3300","FRMD4B"
"3301","MITF"
"3302","FOXP1"
"3303","EIF4E3"
"3304","GPR27"
"3305","PROK2"
"3306","RYBP"
"3307","SHQ1"
"3308","GXYLT2"
"3309","PPP4R2"
"3310","EBLN2"
"3311","PDZRN3"
"3312","CNTN3"
"3313","ZNF717"
"3314","ROBO2"
"3315","ROBO1"
"3316","GBE1"
"3317","CADM2"
"3318","VGLL3"
"3319","CHMP2B"
"3320","POU1F1"
"3321","HTR1F"
"3322","CGGBP1"
"3323","ZNF654"
"3324","C3orf38"
"3325","EPHA3"
"3326","PROS1"
"3327","ARL13B"
"3328","STX19"
"3329","NSUN3"
"3330","MTRNR2L12"
"3331","EPHA6"
"3332","ARL6"
"3333","CRYBG3"
"3334","OR5K2"
"3335","CLDND1"
"3336","CPOX"
"3337","GPR15"
"3338","ST3GAL6"
"3339","DCBLD2"
"3340","COL8A1"
"3341","CMSS1"
"3342","FILIP1L"
"3343","TBC1D23"
"3344","NIT2"
"3345","LNP1"
"3346","TMEM45A"
"3347","TFG"
"3348","ABI3BP"
"3349","IMPG2"
"3350","SENP7"
"3351","TRMT10C"
"3352","PCNP"
"3353","ZBTB11"
"3354","RPL24"
"3355","CEP97"
"3356","NXPE3"
"3357","NFKBIZ"
"3358","ZPLD1"
"3359","ALCAM"
"3360","CBLB"
"3361","CCDC54"
"3362","BBX"
"3363","CD47"
"3364","IFT57"
"3365","HHLA2"
"3366","MYH15"
"3367","KIAA1524"
"3368","DZIP3"
"3369","TRAT1"
"3370","DPPA4"
"3371","CD96"
"3372","ZBED2"
"3373","PLCXD2"
"3374","PHLDB2"
"3375","ABHD10"
"3376","TAGLN3"
"3377","C3orf52"
"3378","GCSAM"
"3379","SLC9C1"
"3380","CD200"
"3381","BTLA"
"3382","ATG3"
"3383","SLC35A5"
"3384","CCDC80"
"3385","CD200R1"
"3386","GTPBP8"
"3387","BOC"
"3388","CFAP44"
"3389","SPICE1"
"3390","SIDT1"
"3391","NAA50"
"3392","ATP6V1A"
"3393","GRAMD1C"
"3394","ZDHHC23"
"3395","ZNF80"
"3396","TIGIT"
"3397","ZBTB20"
"3398","GAP43"
"3399","LSAMP"
"3400","IGSF11"
"3401","UPK1B"
"3402","B4GALT4"
"3403","ARHGAP31"
"3404","TMEM39A"
"3405","POGLUT1"
"3406","TIMMDC1"
"3407","CD80"
"3408","ADPRH"
"3409","PLA1A"
"3410","POPDC2"
"3411","COX17"
"3412","MAATS1"
"3413","NR1I2"
"3414","GSK3B"
"3415","GPR156"
"3416","LRRC58"
"3417","FSTL1"
"3418","NDUFB4"
"3419","HGD"
"3420","RABL3"
"3421","GTF2E1"
"3422","STXBP5L"
"3423","POLQ"
"3424","FBXO40"
"3425","HCLS1"
"3426","GOLGB1"
"3427","IQCB1"
"3428","EAF2"
"3429","SLC15A2"
"3430","ILDR1"
"3431","CD86"
"3432","CASR"
"3433","CSTA"
"3434","CCDC58"
"3435","FAM162A"
"3436","WDR5B"
"3437","KPNA1"
"3438","PARP9"
"3439","DTX3L"
"3440","PARP15"
"3441","PARP14"
"3442","HSPBAP1"
"3443","DIRC2"
"3444","SEMA5B"
"3445","PDIA5"
"3446","SEC22A"
"3447","ADCY5"
"3448","MYLK"
"3449","CCDC14"
"3450","ROPN1"
"3451","KALRN"
"3452","UMPS"
"3453","ITGB5"
"3454","MUC13"
"3455","HEG1"
"3456","SLC12A8"
"3457","ZNF148"
"3458","SNX4"
"3459","OSBPL11"
"3460","ALG1L"
"3461","ROPN1B"
"3462","SLC41A3"
"3463","ALDH1L1"
"3464","KLF15"
"3465","ZXDC"
"3466","UROC1"
"3467","CHST13"
"3468","C3orf22"
"3469","TXNRD3"
"3470","CHCHD6"
"3471","PLXNA1"
"3472","TPRA1"
"3473","MCM2"
"3474","PODXL2"
"3475","ABTB1"
"3476","MGLL"
"3477","KBTBD12"
"3478","SEC61A1"
"3479","RUVBL1"
"3480","EEFSEC"
"3481","GATA2"
"3482","RPN1"
"3483","RAB7A"
"3484","ACAD9"
"3485","KIAA1257"
"3486","EFCC1"
"3487","GP9"
"3488","RAB43"
"3489","ISY1"
"3490","CNBP"
"3491","COPG1"
"3492","HMCES"
"3493","H1FX"
"3494","EFCAB12"
"3495","MBD4"
"3496","IFT122"
"3497","RHO"
"3498","PLXND1"
"3499","TMCC1"
"3500","TRH"
"3501","ALG1L2"
"3502","COL6A5"
"3503","COL6A6"
"3504","PIK3R4"
"3505","ATP2C1"
"3506","ASTE1"
"3507","NEK11"
"3508","NUDT16"
"3509","MRPL3"
"3510","CPNE4"
"3511","ACPP"
"3512","DNAJC13"
"3513","ACAD11"
"3514","ACKR4"
"3515","UBA5"
"3516","NPHP3"
"3517","TMEM108"
"3518","CDV3"
"3519","TOPBP1"
"3520","TF"
"3521","SRPRB"
"3522","RAB6B"
"3523","C3orf36"
"3524","SLCO2A1"
"3525","RYK"
"3526","AMOTL2"
"3527","ANAPC13"
"3528","CEP63"
"3529","EPHB1"
"3530","KY"
"3531","PPP2R3A"
"3532","MSL2"
"3533","PCCB"
"3534","STAG1"
"3535","SLC35G2"
"3536","NCK1"
"3537","IL20RB"
"3538","CLDN18"
"3539","DZIP1L"
"3540","A4GNT"
"3541","DBR1"
"3542","ARMC8"
"3543","NME9"
"3544","MRAS"
"3545","ESYT3"
"3546","CEP70"
"3547","FAIM"
"3548","PIK3CB"
"3549","FOXL2"
"3550","FOXL2NB"
"3551","MRPS22"
"3552","COPB2"
"3553","RBP2"
"3554","RBP1"
"3555","NMNAT3"
"3556","CLSTN2"
"3557","SLC25A36"
"3558","SPSB4"
"3559","PXYLP1"
"3560","ZBTB38"
"3561","RASA2"
"3562","RNF7"
"3563","GRK7"
"3564","ATP1B3"
"3565","GK5"
"3566","XRN1"
"3567","ATR"
"3568","PLS1"
"3569","TRPC1"
"3570","PCOLCE2"
"3571","PAQR9"
"3572","U2SURP"
"3573","CHST2"
"3574","SLC9A9"
"3575","C3orf58"
"3576","PLOD2"
"3577","PLSCR4"
"3578","PLSCR2"
"3579","PLSCR1"
"3580","ZIC4"
"3581","ZIC1"
"3582","AGTR1"
"3583","CPB1"
"3584","CPA3"
"3585","GYG1"
"3586","HLTF"
"3587","HPS3"
"3588","CP"
"3589","TM4SF18"
"3590","TM4SF1"
"3591","TM4SF4"
"3592","WWTR1"
"3593","COMMD2"
"3594","ANKUB1"
"3595","RNF13"
"3596","PFN2"
"3597","TSC22D2"
"3598","SERP1"
"3599","EIF2A"
"3600","ERICH6"
"3601","SIAH2"
"3602","MED12L"
"3603","GPR171"
"3604","P2RY14"
"3605","GPR87"
"3606","P2RY13"
"3607","P2RY12"
"3608","IGSF10"
"3609","AADACL2"
"3610","AADAC"
"3611","SUCNR1"
"3612","MBNL1"
"3613","P2RY1"
"3614","RAP2B"
"3615","ARHGEF26"
"3616","DHX36"
"3617","MME"
"3618","PLCH1"
"3619","C3orf33"
"3620","SLC33A1"
"3621","GMPS"
"3622","KCNAB1"
"3623","SSR3"
"3624","TIPARP"
"3625","LEKR1"
"3626","CCNL1"
"3627","VEPH1"
"3628","PTX3"
"3629","SHOX2"
"3630","RSRC1"
"3631","MLF1"
"3632","GFM1"
"3633","LXN"
"3634","RARRES1"
"3635","MFSD1"
"3636","IQCJ-SCHIP1"
"3637","SCHIP1"
"3638","IL12A"
"3639","C3orf80"
"3640","IFT80"
"3641","SMC4"
"3642","TRIM59"
"3643","KPNA4"
"3644","PPM1L"
"3645","B3GALNT1"
"3646","NMD3"
"3647","SPTSSB"
"3648","SLITRK3"
"3649","BCHE"
"3650","ZBBX"
"3651","SERPINI2"
"3652","WDR49"
"3653","PDCD10"
"3654","SERPINI1"
"3655","GOLIM4"
"3656","MECOM"
"3657","ACTRT3"
"3658","MYNN"
"3659","LRRC34"
"3660","LRRIQ4"
"3661","LRRC31"
"3662","SEC62"
"3663","GPR160"
"3664","PHC3"
"3665","PRKCI"
"3666","SKIL"
"3667","CLDN11"
"3668","SLC7A14"
"3669","RPL22L1"
"3670","EIF5A2"
"3671","TNIK"
"3672","PLD1"
"3673","FNDC3B"
"3674","TNFSF10"
"3675","NCEH1"
"3676","ECT2"
"3677","NLGN1"
"3678","NAALADL2"
"3679","TBL1XR1"
"3680","KCNMB2"
"3681","ZMAT3"
"3682","PIK3CA"
"3683","KCNMB3"
"3684","ZNF639"
"3685","MFN1"
"3686","GNB4"
"3687","ACTL6A"
"3688","MRPL47"
"3689","NDUFB5"
"3690","USP13"
"3691","PEX5L"
"3692","TTC14"
"3693","CCDC39"
"3694","FXR1"
"3695","DNAJC19"
"3696","SOX2"
"3697","ATP11B"
"3698","DCUN1D1"
"3699","MCCC1"
"3700","LAMP3"
"3701","MCF2L2"
"3702","B3GNT5"
"3703","KLHL6"
"3704","KLHL24"
"3705","YEATS2"
"3706","MAP6D1"
"3707","PARL"
"3708","ABCC5"
"3709","EIF2B5"
"3710","DVL3"
"3711","AP2M1"
"3712","ABCF3"
"3713","VWA5B2"
"3714","ALG3"
"3715","ECE2"
"3716","CAMK2N2"
"3717","PSMD2"
"3718","EIF4G1"
"3719","FAM131A"
"3720","CLCN2"
"3721","POLR2H"
"3722","THPO"
"3723","CHRD"
"3724","EPHB3"
"3725","MAGEF1"
"3726","VPS8"
"3727","C3orf70"
"3728","EHHADH"
"3729","MAP3K13"
"3730","TMEM41A"
"3731","LIPH"
"3732","SENP2"
"3733","IGF2BP2"
"3734","TRA2B"
"3735","ETV5"
"3736","DGKG"
"3737","CRYGS"
"3738","TBCCD1"
"3739","DNAJB11"
"3740","AHSG"
"3741","FETUB"
"3742","HRG"
"3743","KNG1"
"3744","EIF4A2"
"3745","RFC4"
"3746","ADIPOQ"
"3747","ST6GAL1"
"3748","RPL39L"
"3749","MASP1"
"3750","RTP4"
"3751","SST"
"3752","BCL6"
"3753","LPP"
"3754","TPRG1"
"3755","TP63"
"3756","CLDN1"
"3757","CLDN16"
"3758","IL1RAP"
"3759","GMNC"
"3760","OSTN"
"3761","UTS2B"
"3762","CCDC50"
"3763","FGF12"
"3764","MB21D2"
"3765","HRASLS"
"3766","ATP13A5"
"3767","ATP13A4"
"3768","OPA1"
"3769","HES1"
"3770","CPN2"
"3771","LRRC15"
"3772","GP5"
"3773","ATP13A3"
"3774","TMEM44"
"3775","LSG1"
"3776","FAM43A"
"3777","XXYLT1"
"3778","ACAP2"
"3779","PPP1R2"
"3780","APOD"
"3781","MUC20"
"3782","MUC4"
"3783","TNK2"
"3784","TFRC"
"3785","ZDHHC19"
"3786","SLC51A"
"3787","PCYT1A"
"3788","TCTEX1D2"
"3789","TM4SF19"
"3790","UBXN7"
"3791","RNF168"
"3792","SMCO1"
"3793","WDR53"
"3794","FBXO45"
"3795","NRROS"
"3796","CEP19"
"3797","PIGX"
"3798","PAK2"
"3799","SENP5"
"3800","NCBP2"
"3801","PIGZ"
"3802","DLG1"
"3803","BDH1"
"3804","FYTTD1"
"3805","LRCH3"
"3806","IQCG"
"3807","RPL35A"
"3808","LMLN"
"3809","ZNF595"
"3810","ZNF718"
"3811","ZNF732"
"3812","ZNF141"
"3813","ZNF721"
"3814","PIGG"
"3815","PDE6B"
"3816","ATP5I"
"3817","MYL5"
"3818","MFSD7"
"3819","PCGF3"
"3820","CPLX1"
"3821","GAK"
"3822","TMEM175"
"3823","DGKQ"
"3824","SLC26A1"
"3825","IDUA"
"3826","FGFRL1"
"3827","RNF212"
"3828","SPON2"
"3829","CTBP1"
"3830","MAEA"
"3831","UVSSA"
"3832","CRIPAK"
"3833","FAM53A"
"3834","SLBP"
"3835","TMEM129"
"3836","TACC3"
"3837","FGFR3"
"3838","LETM1"
"3839","NELFA"
"3840","C4orf48"
"3841","NAT8L"
"3842","POLN"
"3843","HAUS3"
"3844","MXD4"
"3845","ZFYVE28"
"3846","CFAP99"
"3847","RNF4"
"3848","FAM193A"
"3849","TNIP2"
"3850","SH3BP2"
"3851","ADD1"
"3852","MFSD10"
"3853","NOP14"
"3854","GRK4"
"3855","HTT"
"3856","MSANTD1"
"3857","RGS12"
"3858","HGFAC"
"3859","DOK7"
"3860","LRPAP1"
"3861","ADRA2C"
"3862","TMEM128"
"3863","LYAR"
"3864","ZBTB49"
"3865","NSG1"
"3866","STX18"
"3867","MSX1"
"3868","CYTL1"
"3869","STK32B"
"3870","EVC2"
"3871","EVC"
"3872","CRMP1"
"3873","C4orf50"
"3874","JAKMIP1"
"3875","WFS1"
"3876","PPP2R2C"
"3877","MAN2B2"
"3878","MRFAP1"
"3879","S100P"
"3880","MRFAP1L1"
"3881","BLOC1S4"
"3882","KIAA0232"
"3883","TBC1D14"
"3884","CCDC96"
"3885","TADA2B"
"3886","GRPEL1"
"3887","SORCS2"
"3888","PSAPL1"
"3889","AFAP1"
"3890","ABLIM2"
"3891","SH3TC1"
"3892","HTRA3"
"3893","ACOX3"
"3894","TRMT44"
"3895","GPR78"
"3896","CPZ"
"3897","HMX1"
"3898","SLC2A9"
"3899","DRD5"
"3900","WDR1"
"3901","ZNF518B"
"3902","CLNK"
"3903","HS3ST1"
"3904","RAB28"
"3905","NKX3-2"
"3906","BOD1L1"
"3907","CPEB2"
"3908","C1QTNF7"
"3909","CC2D2A"
"3910","FBXL5"
"3911","FAM200B"
"3912","BST1"
"3913","CD38"
"3914","FGFBP1"
"3915","FGFBP2"
"3916","PROM1"
"3917","TAPT1"
"3918","LDB2"
"3919","QDPR"
"3920","LAP3"
"3921","MED28"
"3922","FAM184B"
"3923","DCAF16"
"3924","NCAPG"
"3925","LCORL"
"3926","SLIT2"
"3927","PACRGL"
"3928","KCNIP4"
"3929","PPARGC1A"
"3930","DHX15"
"3931","SOD3"
"3932","CCDC149"
"3933","LGI2"
"3934","SEPSECS"
"3935","PI4K2B"
"3936","ZCCHC4"
"3937","ANAPC4"
"3938","SLC34A2"
"3939","SEL1L3"
"3940","SMIM20"
"3941","RBPJ"
"3942","TBC1D19"
"3943","STIM2"
"3944","PCDH7"
"3945","ARAP2"
"3946","DTHD1"
"3947","NWD2"
"3948","C4orf19"
"3949","RELL1"
"3950","PGM2"
"3951","TBC1D1"
"3952","PTTG2"
"3953","KLF3"
"3954","TLR10"
"3955","TLR1"
"3956","TLR6"
"3957","FAM114A1"
"3958","TMEM156"
"3959","KLHL5"
"3960","WDR19"
"3961","RFC1"
"3962","KLB"
"3963","RPL9"
"3964","LIAS"
"3965","UGDH"
"3966","SMIM14"
"3967","UBE2K"
"3968","PDS5A"
"3969","N4BP2"
"3970","RHOH"
"3971","RBM47"
"3972","NSUN7"
"3973","APBB2"
"3974","UCHL1"
"3975","LIMCH1"
"3976","TMEM33"
"3977","DCAF4L1"
"3978","SLC30A9"
"3979","BEND4"
"3980","SHISA3"
"3981","ATP8A1"
"3982","KCTD8"
"3983","YIPF7"
"3984","GUF1"
"3985","GNPDA2"
"3986","GABRG1"
"3987","GABRA2"
"3988","GABRA4"
"3989","GABRB1"
"3990","COMMD8"
"3991","ATP10D"
"3992","CORIN"
"3993","NFXL1"
"3994","NIPAL1"
"3995","CNGA1"
"3996","TXK"
"3997","TEC"
"3998","SLAIN2"
"3999","SLC10A4"
"4000","FRYL"
"4001","OCIAD1"
"4002","OCIAD2"
"4003","CWH43"
"4004","DCUN1D4"
"4005","LRRC66"
"4006","SGCB"
"4007","SPATA18"
"4008","USP46"
"4009","ERVMER34-1"
"4010","RASL11B"
"4011","SCFD2"
"4012","FIP1L1"
"4013","LNX1"
"4014","CHIC2"
"4015","PDGFRA"
"4016","KIT"
"4017","KDR"
"4018","SRD5A3"
"4019","TMEM165"
"4020","CLOCK"
"4021","NMU"
"4022","EXOC1"
"4023","CEP135"
"4024","KIAA1211"
"4025","AASDH"
"4026","PPAT"
"4027","PAICS"
"4028","SRP72"
"4029","ARL9"
"4030","THEGL"
"4031","HOPX"
"4032","SPINK2"
"4033","REST"
"4034","NOA1"
"4035","POLR2B"
"4036","IGFBP7"
"4037","TECRL"
"4038","EPHA5"
"4039","CENPC"
"4040","STAP1"
"4041","UBA6"
"4042","GNRHR"
"4043","TMPRSS11D"
"4044","TMPRSS11A"
"4045","TMPRSS11B"
"4046","YTHDC1"
"4047","TMPRSS11E"
"4048","UGT2B17"
"4049","SULT1B1"
"4050","SULT1E1"
"4051","ODAM"
"4052","MUC7"
"4053","ENAM"
"4054","UTP3"
"4055","RUFY3"
"4056","GRSF1"
"4057","MOB1B"
"4058","DCK"
"4059","SLC4A4"
"4060","GC"
"4061","NPFFR2"
"4062","ADAMTS3"
"4063","COX18"
"4064","ANKRD17"
"4065","ALB"
"4066","RASSF6"
"4067","CXCL8"
"4068","CXCL6"
"4069","CXCL1"
"4070","PF4"
"4071","PPBP"
"4072","CXCL5"
"4073","CXCL3"
"4074","CXCL2"
"4075","MTHFD2L"
"4076","EPGN"
"4077","EREG"
"4078","AREG"
"4079","BTC"
"4080","PARM1"
"4081","RCHY1"
"4082","THAP6"
"4083","C4orf26"
"4084","CDKL2"
"4085","G3BP2"
"4086","USO1"
"4087","PPEF2"
"4088","NAAA"
"4089","SDAD1"
"4090","CXCL9"
"4091","ART3"
"4092","CXCL10"
"4093","CXCL11"
"4094","NUP54"
"4095","SCARB2"
"4096","FAM47E"
"4097","STBD1"
"4098","CCDC158"
"4099","SHROOM3"
"4100","SOWAHB"
"4101","SEPT11"
"4102","CCNI"
"4103","CCNG2"
"4104","CXCL13"
"4105","CNOT6L"
"4106","MRPL1"
"4107","FRAS1"
"4108","ANXA3"
"4109","BMP2K"
"4110","PAQR3"
"4111","NAA11"
"4112","ANTXR2"
"4113","PRDM8"
"4114","FGF5"
"4115","C4orf22"
"4116","BMP3"
"4117","PRKG2"
"4118","RASGEF1B"
"4119","HNRNPD"
"4120","HNRNPDL"
"4121","ENOPH1"
"4122","TMEM150C"
"4123","SCD5"
"4124","SEC31A"
"4125","THAP9"
"4126","LIN54"
"4127","COPS4"
"4128","PLAC8"
"4129","COQ2"
"4130","HPSE"
"4131","HELQ"
"4132","MRPS18C"
"4133","FAM175A"
"4134","NKX6-1"
"4135","CDS1"
"4136","WDFY3"
"4137","ARHGAP24"
"4138","MAPK10"
"4139","PTPN13"
"4140","SLC10A6"
"4141","C4orf36"
"4142","AFF1"
"4143","KLHL8"
"4144","HSD17B13"
"4145","HSD17B11"
"4146","NUDT9"
"4147","SPARCL1"
"4148","SPP1"
"4149","PKD2"
"4150","ABCG2"
"4151","PPM1K"
"4152","HERC6"
"4153","HERC5"
"4154","PYURF"
"4155","HERC3"
"4156","NAP1L5"
"4157","FAM13A"
"4158","TIGD2"
"4159","GPRIN3"
"4160","SNCA"
"4161","MMRN1"
"4162","CCSER1"
"4163","GRID2"
"4164","SMARCAD1"
"4165","HPGDS"
"4166","PDLIM5"
"4167","BMPR1B"
"4168","UNC5C"
"4169","STPG2"
"4170","RAP1GDS1"
"4171","TSPAN5"
"4172","EIF4E"
"4173","METAP1"
"4174","ADH5"
"4175","ADH4"
"4176","ADH6"
"4177","ADH1A"
"4178","ADH1B"
"4179","ADH1C"
"4180","ADH7"
"4181","TRMT10A"
"4182","MTTP"
"4183","DAPP1"
"4184","LAMTOR3"
"4185","DNAJB14"
"4186","H2AFZ"
"4187","DDIT4L"
"4188","EMCN"
"4189","PPP3CA"
"4190","BANK1"
"4191","SLC39A8"
"4192","NFKB1"
"4193","MANBA"
"4194","UBE2D3"
"4195","CISD2"
"4196","SLC9B1"
"4197","SLC9B2"
"4198","BDH2"
"4199","CENPE"
"4200","CXXC4"
"4201","TET2"
"4202","PPA2"
"4203","ARHGEF38"
"4204","INTS12"
"4205","GSTCD"
"4206","NPNT"
"4207","TBCK"
"4208","AIMP1"
"4209","DKK2"
"4210","PAPSS1"
"4211","SGMS2"
"4212","CYP2U1"
"4213","HADH"
"4214","LEF1"
"4215","RPL34"
"4216","OSTC"
"4217","ETNPPL"
"4218","COL25A1"
"4219","SEC24B"
"4220","CASP6"
"4221","PLA2G12A"
"4222","CFI"
"4223","GAR1"
"4224","RRH"
"4225","LRIT3"
"4226","EGF"
"4227","ELOVL6"
"4228","ENPEP"
"4229","PITX2"
"4230","C4orf32"
"4231","AP1AR"
"4232","TIFA"
"4233","ALPK1"
"4234","ZGRF1"
"4235","LARP7"
"4236","ANK2"
"4237","CAMK2D"
"4238","ARSJ"
"4239","UGT8"
"4240","TRAM1L1"
"4241","NDST3"
"4242","PRSS12"
"4243","METTL14"
"4244","SEC24D"
"4245","SYNPO2"
"4246","MYOZ2"
"4247","USP53"
"4248","C4orf3"
"4249","FABP2"
"4250","PDE5A"
"4251","MAD2L1"
"4252","PRDM5"
"4253","NDNF"
"4254","TNIP3"
"4255","QRFPR"
"4256","ANXA5"
"4257","TMEM155"
"4258","EXOSC9"
"4259","CCNA2"
"4260","BBS7"
"4261","TRPC3"
"4262","KIAA1109"
"4263","BBS12"
"4264","FGF2"
"4265","NUDT6"
"4266","SPATA5"
"4267","SPRY1"
"4268","ANKRD50"
"4269","FAT4"
"4270","INTU"
"4271","HSPA4L"
"4272","PLK4"
"4273","MFSD8"
"4274","LARP1B"
"4275","PGRMC2"
"4276","JADE1"
"4277","SCLT1"
"4278","C4orf33"
"4279","PCDH10"
"4280","PABPC4L"
"4281","PCDH18"
"4282","SLC7A11"
"4283","ELF2"
"4284","MGARP"
"4285","NDUFC1"
"4286","NAA15"
"4287","RAB33B"
"4288","SETD7"
"4289","MGST2"
"4290","MAML3"
"4291","SCOC"
"4292","CLGN"
"4293","ELMOD2"
"4294","TBC1D9"
"4295","RNF150"
"4296","ZNF330"
"4297","IL15"
"4298","INPP4B"
"4299","USP38"
"4300","GAB1"
"4301","SMARCA5"
"4302","FREM3"
"4303","GYPE"
"4304","GYPA"
"4305","HHIP"
"4306","ANAPC10"
"4307","ABCE1"
"4308","OTUD4"
"4309","SMAD1"
"4310","MMAA"
"4311","ZNF827"
"4312","LSM6"
"4313","SLC10A7"
"4314","TTC29"
"4315","EDNRA"
"4316","TMEM184C"
"4317","PRMT9"
"4318","ARHGAP10"
"4319","NR3C2"
"4320","DCLK2"
"4321","LRBA"
"4322","MAB21L2"
"4323","RPS3A"
"4324","SH3D19"
"4325","FAM160A1"
"4326","GATB"
"4327","FBXW7"
"4328","TMEM154"
"4329","TIGD4"
"4330","ARFIP1"
"4331","FHDC1"
"4332","TRIM2"
"4333","MND1"
"4334","KIAA0922"
"4335","TLR2"
"4336","RNF175"
"4337","SFRP2"
"4338","DCHS2"
"4339","PLRG1"
"4340","FGB"
"4341","FGA"
"4342","FGG"
"4343","LRAT"
"4344","RBM46"
"4345","NPY2R"
"4346","MAP9"
"4347","GUCY1A3"
"4348","GUCY1B3"
"4349","TDO2"
"4350","CTSO"
"4351","PDGFC"
"4352","GLRB"
"4353","GRIA2"
"4354","FAM198B"
"4355","TMEM144"
"4356","RXFP1"
"4357","C4orf46"
"4358","ETFDH"
"4359","PPID"
"4360","FNIP2"
"4361","C4orf45"
"4362","RAPGEF2"
"4363","FSTL5"
"4364","NAF1"
"4365","NPY1R"
"4366","NPY5R"
"4367","TKTL2"
"4368","TMA16"
"4369","MARCH1"
"4370","TRIM61"
"4371","FAM218A"
"4372","TMEM192"
"4373","KLHL2"
"4374","MSMO1"
"4375","CPE"
"4376","TLL1"
"4377","SPOCK3"
"4378","ANXA10"
"4379","DDX60"
"4380","DDX60L"
"4381","PALLD"
"4382","CBR4"
"4383","SH3RF1"
"4384","NEK1"
"4385","CLCN3"
"4386","MFAP3L"
"4387","AADAT"
"4388","GALNTL6"
"4389","GALNT7"
"4390","HMGB2"
"4391","SAP30"
"4392","SCRG1"
"4393","HAND2"
"4394","FBXO8"
"4395","CEP44"
"4396","HPGD"
"4397","GLRA3"
"4398","ADAM29"
"4399","GPM6A"
"4400","WDR17"
"4401","SPATA4"
"4402","ASB5"
"4403","SPCS3"
"4404","VEGFC"
"4405","NEIL3"
"4406","AGA"
"4407","TENM3"
"4408","DCTD"
"4409","WWC2"
"4410","CDKN2AIP"
"4411","ING2"
"4412","RWDD4"
"4413","TRAPPC11"
"4414","STOX2"
"4415","ENPP6"
"4416","IRF2"
"4417","CASP3"
"4418","PRIMPOL"
"4419","CENPU"
"4420","ACSL1"
"4421","SLC25A4"
"4422","CFAP97"
"4423","SNX25"
"4424","LRP2BP"
"4425","ANKRD37"
"4426","UFSP2"
"4427","C4orf47"
"4428","CCDC110"
"4429","PDLIM3"
"4430","SORBS2"
"4431","TLR3"
"4432","FAM149A"
"4433","CYP4V2"
"4434","KLKB1"
"4435","F11"
"4436","FAT1"
"4437","FRG1"
"4438","PLEKHG4B"
"4439","LRRC14B"
"4440","CCDC127"
"4441","SDHA"
"4442","PDCD6"
"4443","AHRR"
"4444","EXOC3"
"4445","SLC9A3"
"4446","CEP72"
"4447","TPPP"
"4448","ZDHHC11B"
"4449","ZDHHC11"
"4450","BRD9"
"4451","TRIP13"
"4452","NKD2"
"4453","SLC12A7"
"4454","SLC6A19"
"4455","TERT"
"4456","CLPTM1L"
"4457","SLC6A3"
"4458","LPCAT1"
"4459","MRPL36"
"4460","NDUFS6"
"4461","IRX4"
"4462","IRX2"
"4463","C5orf38"
"4464","IRX1"
"4465","ADAMTS16"
"4466","ICE1"
"4467","MED10"
