SP1	435.3333333333333
ATRX	433.3333333333333
ZNF148	408.6666666666667
CREB1	385.0
REST	365.6666666666667
LCOR	365.0
ASH1L	360.0
NFAT5	349.6666666666667
NR2C2	347.6666666666667
FOXA1	344.0
TCF12	342.6666666666667
BDP1	338.6666666666667
TAF1	331.0
GTF2A1	328.0
GABPA	326.3333333333333
BTAF1	318.6666666666667
REL	316.3333333333333
CLOCK	313.0
SP3	309.6666666666667
ELF2	307.6666666666667
SMAD4	288.6666666666667
ELK4	278.0
ZEB1	276.3333333333333
ATM	270.0
TEAD1	264.6666666666667
GATA3	264.0
TCF4	258.0
ZNF224	257.3333333333333
YBX1	254.33333333333334
EP300	253.33333333333334
ZEB2	252.33333333333334
KLF12	251.0
SIN3A	246.33333333333334
ZNF160	243.66666666666666
HBP1	243.66666666666666
TP53BP1	242.66666666666666
PIAS1	240.0
RREB1	239.66666666666666
ESR1	237.33333333333334
BCL11A	235.66666666666666
PRDM2	234.0
ATF2	233.33333333333334
CREBBP	232.33333333333334
XBP1	231.66666666666666
CEBPB	226.66666666666666
FOXO1	224.33333333333334
SCAND1	223.0
ETS1	222.0
BACH1	220.33333333333334
FLI1	220.0
BACH2	218.33333333333334
FOXM1	217.66666666666666
RUNX1T1	217.0
ZNF24	216.66666666666666
FOXC1	215.0
FOXP1	213.33333333333334
ELK3	213.0
DEK	211.66666666666666
KLF16	211.66666666666666
PLAGL1	211.33333333333334
ENO1	209.66666666666666
VEZF1	209.33333333333334
ZBTB14	209.0
TRRAP	207.0
MZF1	206.66666666666666
HIC1	206.33333333333334
E2F3	205.66666666666666
HMGA1	205.0
SP4	202.33333333333334
RNF14	199.0
NCOA2	196.33333333333334
NR1H2	194.33333333333334
PURA	192.66666666666666
GLI2	192.33333333333334
MEF2C	192.0
NCOA1	191.66666666666666
CBX7	191.0
LYL1	191.0
DRAP1	190.66666666666666
MTF1	190.66666666666666
ELF1	190.33333333333334
IFI16	190.0
KLF3	189.66666666666666
ZNF383	189.0
RB1	188.0
MYBL2	187.0
E4F1	187.0
HDAC4	185.66666666666666
DENND4A	185.33333333333334
ZBTB17	184.66666666666666
RUNX3	184.0
RFX1	183.0
XPC	180.0
ATF6	179.66666666666666
PPARA	179.66666666666666
WWTR1	179.66666666666666
HDAC7	179.0
SETBP1	178.33333333333334
MDM4	177.66666666666666
MAF	175.0
ERG	174.66666666666666
LIMD1	173.0
HIVEP2	172.66666666666666
TRPS1	172.0
SIRT1	171.33333333333334
NRIP1	171.33333333333334
PRDM1	170.66666666666666
AHR	170.66666666666666
EZH2	170.0
TNFAIP3	169.66666666666666
EBF1	169.33333333333334
ARNT	168.66666666666666
POU2F1	168.33333333333334
SPDEF	168.0
NAB1	167.0
HDAC10	167.0
TWIST2	166.33333333333334
RBL2	165.0
TAF5	164.66666666666666
RFXANK	164.33333333333334
MXD4	164.33333333333334
E2F1	162.33333333333334
TRAF6	161.66666666666666
EN1	161.33333333333334
AR	160.66666666666666
ZNF267	159.33333333333334
ILF2	159.0
IRF3	158.33333333333334
LMX1B	158.0
NFIB	158.0
ZNF143	157.66666666666666
NFATC3	157.0
ZBTB7A	156.33333333333334
PML	156.0
TCF3	154.0
ZFHX3	153.66666666666666
ZMYND11	153.66666666666666
ZNF444	153.33333333333334
KLF11	153.0
LRRFIP1	151.66666666666666
GLIS3	151.0
ARID1B	150.33333333333334
CRTC1	149.66666666666666
MYB	149.33333333333334
IKZF1	149.0
HDGF	148.66666666666666
TLE3	148.33333333333334
ATF1	144.33333333333334
ESRRA	144.0
E2F4	144.0
EBF3	143.66666666666666
KLF7	141.66666666666666
MAFB	140.66666666666666
DACH1	140.66666666666666
SPI1	140.0
WWP1	138.66666666666666
NFIL3	138.33333333333334
SHOX2	138.33333333333334
HDAC2	137.66666666666666
RELB	137.33333333333334
HEXIM1	137.33333333333334
ZNF382	137.0
NFKBIB	136.33333333333334
SNAI2	135.66666666666666
SOX10	135.0
NELFB	134.66666666666666
MAFK	134.0
IRF8	133.33333333333334
NR3C1	133.0
ARID1A	132.66666666666666
MLLT10	132.33333333333334
POU2F2	132.33333333333334
TCF7L2	131.66666666666666
STAT4	131.33333333333334
CBFB	131.0
POU5F1	130.66666666666666
SLA2	130.66666666666666
TRIM22	129.66666666666666
CIITA	129.0
SUZ12	128.66666666666666
LHX4	128.66666666666666
SOX17	128.33333333333334
TBX21	128.0
ID3	126.66666666666667
ZNF423	126.66666666666667
NRF1	126.33333333333333
E2F2	126.33333333333333
ERF	126.0
RBPJ	125.33333333333333
TFEB	124.66666666666667
DMAP1	124.33333333333333
GTF2F1	124.0
KDM4C	123.66666666666667
TCF7	123.33333333333333
ETS2	123.33333333333333
GFI1	123.33333333333333
LMO4	123.0
PIAS2	122.66666666666667
HOXA1	122.0
MEIS2	121.33333333333333
ILF3	121.33333333333333
ATF7	120.33333333333333
XRCC5	119.66666666666667
JUND	119.66666666666667
ZBTB5	119.33333333333333
NFATC2	118.33333333333333
KAT6A	118.33333333333333
PER2	117.66666666666667
MITF	117.66666666666667
TBX5	117.33333333333333
PBX1	117.0
TAL1	117.0
FOXP3	117.0
KLF2	116.66666666666667
RFX3	116.33333333333333
ID4	116.0
ZNF175	115.66666666666667
DR1	115.33333333333333
ETV3	115.33333333333333
PTMA	115.0
CREB5	115.0
EHMT2	114.66666666666667
ETV6	114.66666666666667
EIF2AK2	114.33333333333333
NFKB2	114.33333333333333
ELL	114.0
BRCA2	112.66666666666667
MSC	112.0
EPAS1	111.33333333333333
GLI3	111.0
HOXA4	110.33333333333333
