,0,100recon _recon 10recon _recon 1000,100recon _recon 20recon _recon 1000,200recon _recon 10recon _recon 1000,200recon _recon 20recon _recon 1000
11632,NKX2-1,0.36458823,0.4123021,0.3700318,1.7908361
11633,NKX2-8,1.0661504,1.0674618,0.26481706,1.0641036
11634,PAX9,0.511337,0.5236133,0.51921487,3.1998203
11635,SLC25A21,0.46396345,0.48078644,0.4723628,0.4854102
11636,MIPOL1,0.62768227,0.66197866,0.6426141,1.6698314
11637,FOXA1,0.4411152,0.48362336,0.4471257,2.4777746
11638,SSTR1,0.5840821,4.1603603,0.5976097,4.1630254
11639,CLEC14A,0.6728966,6.067953,0.69503576,0.72674024
11640,SEC23A,0.69293857,7.039007,0.7366367,0.7716987
11641,GEMIN2,0.63236713,0.7985871,0.6444502,5.015836
11642,TRAPPC6B,0.68564963,6.5965667,0.71780825,0.7531421
11643,PNN,0.6976757,0.7889107,0.79008806,5.7052007
11644,MIA2,0.20344925,0.79232454,0.20605528,0.33759996
11645,CTAGE5,0.6833826,0.7462895,0.7203485,6.467091
11646,FBXO33,0.6686522,0.70880824,0.688288,5.9266715
11647,LRFN5,0.56380105,3.8567505,0.5750129,0.6106155
11648,FSCB,0.11733867,0.3807064,0.14523095,0.3792485
11649,C14orf28,0.63651496,2.6937459,0.6525554,5.1038685
11650,KLHL28,0.6647641,5.7983646,0.68235666,0.7228825
11651,PRPF39,0.6898166,0.74476427,0.73402345,0.7758682
11652,FKBP3,0.6848272,0.7704512,0.73159796,0.8739725
11653,FANCM,0.6242491,0.66627854,0.6400365,4.848986
11654,MIS18BP1,0.6608345,0.7033088,0.67901933,5.6971164
11655,RPL10L,0.15535659,0.5564903,0.1721944,0.5543938
11656,MDGA2,0.3247066,1.5334901,0.32834664,1.5347154
11657,RPS29,0.6973588,0.7864554,0.8308189,1.1250653
11658,LRR1,0.6164203,0.65185547,0.6291182,0.64950544
11659,RPL36AL,0.6979091,0.804524,0.76840454,0.8389079
11660,MGAT2,0.49608496,3.023265,0.5026705,0.51427287
11661,DNAAF2,0.64328694,0.67215073,0.6582296,5.2569714
11662,POLE2,0.551151,3.6840215,0.5596172,3.6856303
11663,KLHDC1,0.6461141,0.68162316,0.65938574,0.69750226
11664,KLHDC2,0.6890146,6.789677,0.7255947,6.7898693
11665,NEMF,0.6856875,0.75819516,0.7172282,0.7687762
11666,ARF6,0.6953138,0.76876587,0.7635476,0.7983244
11667,VCPKMT,0.6551321,0.6971163,0.6723569,0.7059799
11668,SOS2,0.6908442,0.7534631,0.7381002,6.9153624
11669,L2HGDH,0.6465777,0.70161086,0.66714543,2.699475
11670,ATP5S,0.6772313,0.7236177,0.7013833,6.2121353
11671,CDKL1,0.5596395,3.8028538,0.5702438,2.327957
11672,MAP4K5,0.692201,6.9417553,0.7342927,1.6377997
11673,ATL1,0.641145,5.205268,0.65590274,0.86094356
11674,SAV1,0.68583417,0.7651734,0.7205717,0.7655861
11675,NIN,0.6916966,0.7837636,0.75553447,0.7960355
11676,PYGL,0.6851457,0.7390249,0.7114468,0.88979244
11677,ABHD12B,0.4962977,0.5140238,0.5047975,3.0343254
11678,TRIM9,0.6285512,3.54875,0.6416226,0.6695522
11679,TMX1,0.67956847,6.3174386,0.70168793,0.7614405
11680,FRMD6,0.6824692,6.432274,0.7049441,6.436922
11681,GNG2,0.6734449,0.73708093,0.69430745,0.72379464
11682,C14orf166,0.69654095,0.7753532,0.7574532,0.8319565
11683,NID2,0.6475079,0.6830523,0.6607728,5.3379755
11684,PTGDR,0.5444381,0.9633504,3.592017,3.5970852
11685,PTGER2,0.5889246,0.6208819,0.5990007,3.5042787
11686,TXNDC16,0.6605784,0.70776135,0.67765045,0.8869339
11687,GPR137C,0.57426286,4.006702,4.004304,4.007652
11688,PSMC6,0.69357413,0.7628856,0.7420472,0.7788054
11689,STYX,0.6715976,6.0228467,0.69215083,6.0238934
11690,GNPNAT1,0.64574623,5.3115664,0.66123945,0.72099334
11691,FERMT2,0.69569564,0.76191086,0.7550095,0.85682076
11692,DDHD1,0.68439245,0.7353857,0.71264386,0.7573153
11693,BMP4,0.6404752,0.6681434,0.65448564,0.6770146
11694,CDKN3,0.5591561,1.4584117,0.56957173,0.59977996
11695,CNIH1,0.6914895,1.0830432,0.75765604,0.8148479
11696,GMFB,0.6908094,0.7671857,0.74305695,0.7707573
11697,CGRRF1,0.65587455,5.5694003,0.67547715,0.8122367
11698,SAMD4A,0.69332427,0.7474629,0.75050604,0.83945805
11699,GCH1,0.64861387,1.6129692,0.66418236,0.6931351
11700,WDHD1,0.6135133,0.64518297,0.62572485,0.6421149
11701,SOCS4,0.6791954,0.8612364,0.7115408,0.7888419
11702,MAPK1IP1L,0.6950667,0.7567457,0.7488701,0.7842403
11703,LGALS3,0.6979196,0.7776692,0.78979874,1.2322371
11704,DLGAP5,0.45569092,0.4765888,0.46249983,1.6748635
11705,FBXO34,0.6822432,0.73718685,0.7109341,0.766176
11706,ATG14,0.68543506,6.593589,0.7188325,0.7552305
11707,KTN1,0.6983146,0.8212934,0.84140664,0.8221236
11708,PELI2,0.67577153,0.76251364,0.69989705,6.1812696
11709,TMEM260,0.6669526,5.8822308,0.6890134,5.8835273
11710,OTX2,0.18381868,0.6853199,0.21424042,0.68468046
11711,EXOC5,0.69133943,0.7498901,0.7465995,6.9194565
11712,AP5M1,0.68432486,0.75839204,0.71939445,0.8127443
11713,NAA30,0.6810947,0.75776607,0.7075274,0.7834419
11714,C14orf105,0.22187084,0.8931352,0.23250082,0.8942759
11715,SLC35F4,0.36149794,0.41534364,0.36998686,1.8017504
11716,C14orf37,0.61034656,4.595709,0.62645394,0.9320184
11717,ACTR10,0.69093335,0.76538116,0.76062363,6.907009
11718,PSMA3,0.6887418,0.77272356,0.7628939,0.8193881
