,0
0,RHBDF2
1,ZNF264
2,PPAN
3,DNAJB5
4,SCAPER
5,RBMS3
6,SUFU
7,YIPF1
8,ZNF623
9,ICK
10,GSTA4
11,GTF2E2
12,POMGNT2
13,CDK18
14,TYMP
15,PGM5
16,COPG2
17,ACER3
18,CD14
19,FBXL19
20,LHPP
21,SIPA1L3
22,FCHSD1
23,BTBD9
24,PM20D2
25,CHRAC1
26,MGAT4A
27,ARHGEF25
28,TAF5L
29,CCP110
30,TRMU
31,ZBTB25
32,KIAA0391
33,PANK2
34,EP400NL
35,HN1
36,NLRX1
37,POLR3D
38,PCCB
39,NXPE3
40,TMEM159
41,GGPS1
42,DHX33
43,PSENEN
44,RUFY2
45,ZNF131
46,FAM200B
47,PEX16
48,CMTM3
49,GUF1
50,HINFP
51,SNRPD1
52,SIPA1
53,MRPL2
54,ZNF248
55,MAP2
56,ZFAND1
57,TIE1
58,ADAMTS4
59,LDOC1
60,FHL3
61,TMEM161A
62,SHC2
63,INPP5D
64,PLAT
65,SLC25A27
66,RNF34
67,VCPIP1
68,WDR18
69,MTAP
70,C11orf49
71,RFX7
72,MIER2
73,OSGEP
74,CALHM2
75,HCFC2
76,MDFIC
77,USP31
78,AIG1
79,PDE5A
80,KATNBL1
81,ADAMTS10
82,RRP1
83,KIAA1143
84,KLHL5
85,ZNF217
86,SPRY4
87,ANKS3
88,SNX15
89,PHTF2
90,THAP11
91,AGAP6
92,CDK5RAP1
93,FAM98B
94,FUK
95,LAMTOR2
96,CHCHD7
97,SMOC2
98,KCNC4
99,PLEKHA3
100,DPP3
101,RCN3
102,GBP1
103,SEMA3F
104,ZRANB1
105,TSKU
106,C5orf42
107,MRPL15
108,ZNF513
109,OPLAH
110,LCE1B
111,ASB13
112,PPP1R26
113,NDN
114,HSPB7
115,UBE2E2
116,TBCK
117,KLHL18
118,GPAM
119,PDP1
120,RPF1
121,KCTD5
122,UAP1L1
123,MCU
124,ZNF589
125,ARL16
126,METRN
127,PEX1
128,DYRK1B
129,CSGALNACT1
130,BCL7C
131,DPYD
132,CPPED1
133,CREM
