,0
0,NIT2
1,STMN3
2,TUBB3
3,AXL
4,PSMD12
5,EIF2B4
6,LRP3
7,ZNF282
8,ESRP1
9,ECSIT
10,COG1
11,MEX3C
12,ATP5SL
13,CSTF2T
14,FASTKD2
15,SIAE
16,LGR4
17,HINT3
18,SMAP1
19,MGAT4A
20,TXNDC17
21,CXCL12
22,CRNKL1
23,DRAM2
24,SPCS2
25,ZHX3
26,GPR125
27,WDR75
28,C19orf70
29,LYRM2
30,FYN
31,TLE1
32,MTMR10
33,EXOC1
34,FADS1
35,SH3YL1
36,BRD9
37,COL16A1
38,PLXNA2
39,RASSF4
40,AQR
41,PRKRA
42,RWDD1
43,WDR61
44,AGPAT5
45,XRCC1
46,SETD8
47,ARFIP1
48,FBLN2
49,DGCR6L
50,RAB11FIP5
51,ATAD2
52,NFYA
53,PSKH1
54,SCYL2
55,CRYZ
56,PKIG
57,SAP30L
58,BOD1
59,DDHD2
60,GGA3
61,PPIE
62,MRPL30
63,FMNL3
64,BCL9
65,THUMPD3
66,MPV17
67,ANPEP
68,MED4
69,USP54
70,SYK
71,XRN1
72,PHF14
73,ULK3
74,RGS12
75,DGUOK
76,C12orf10
77,CCNDBP1
78,TELO2
79,UBA7
80,MTX1
81,LHFPL2
82,CTSO
83,SNX4
84,MRPS23
85,ACBD5
86,RAB4A
87,PHF23
88,XYLT2
89,CXCL14
90,PIN1
91,FAM96A
92,RPS6KB2
93,PTK2B
94,EFEMP2
95,L3MBTL2
96,UBE2V2
97,C11orf68
98,MRPL45
99,CLIP2
100,ARSA
101,SRGAP2
102,SNRPD1
103,MUM1
104,CEP170
105,NMRAL1
106,C5orf51
107,HMOX1
108,IL10RB
109,FAM111A
110,PPM1F
111,MGAT2
112,KRI1
113,LIMCH1
114,GOLIM4
115,TSPAN15
116,ABCA3
117,PGPEP1
118,ACP5
119,PCGF2
120,GPN1
121,CDK11B
122,BACH1
123,STX4
124,CASKIN2
125,HDDC2
126,FHL2
127,BTBD3
128,GGPS1
129,TMEM57
130,ZHX1
131,SLC35A2
132,CAMLG
133,RFNG
134,SNRPF
135,TMEM176A
136,KIF13A
137,CAV2
138,SIPA1
139,TRAPPC9
140,ZYG11B
141,ADCY3
142,GPRC5C
143,CLK3
144,DCTPP1
145,ID1
146,BAHD1
147,ACY1
148,PRPF3
149,C1RL
150,CFLAR
151,UPF2
152,PRPF38A
153,TAF1
154,RRP7A
155,MIER1
156,PLEKHO1
157,VPS45
158,PDCD5
159,CC2D1B
160,KCTD5
161,AHDC1
162,SGSH
163,C11orf24
164,PIK3IP1
165,COG5
166,CNIH4
167,ZFYVE16
168,USMG5
169,DOCK6
170,BRD1
171,LARP7
172,COQ4
173,TUBGCP6
174,DPY19L4
175,DNAJB9
176,GRWD1
177,UTP14C
178,INPP5K
179,THOP1
180,OXR1
181,SLC41A1
182,TST
183,GPD1L
184,THADA
185,HIP1
186,CYP27A1
187,FCGR3A
188,CYHR1
189,CENPF
190,PIGO
191,TMEM203
192,SFXN1
193,DEDD
194,SLCO2B1
195,AMBRA1
196,TOPBP1
197,KRT17
198,SPG20
199,PLK2
200,DHX36
201,SEH1L
202,MPZL2
203,TPX2
204,ZNF33A
205,EFNB2
206,RBMS2
207,COX16
208,MAP2K7
209,HPS4
210,CCDC25
211,ZHX2
212,MCTS1
213,DCAF10
214,SMPD1
215,CD320
216,ELK1
217,TXNL4A
218,UBAC1
219,PECAM1
220,ATP8B1
221,CPSF3
222,SOS2
223,ITPA
224,POLRMT
225,PRKAB1
226,CAMSAP1
227,TRIM22
228,TFIP11
229,ZCRB1
230,ZNF629
231,SHROOM3
232,KIFAP3
233,RCOR1
234,VPS18
235,MRPL27
236,LRP6
237,ARL5A
238,PRPS1
239,ZBTB7A
240,QSER1
241,SDF2
242,LDOC1L
243,AIM1
244,ASNSD1
245,C3orf17
246,GCC2
247,POLE
248,SFXN3
249,RPS6KA2
250,SLC5A6
251,TAF10
252,NCDN
253,USP16
254,SNX13
255,FBXO9
256,CCDC92
257,RARRES2
258,FAM177A1
259,DDA1
260,CHD9
261,POLR2J3
262,SDAD1
263,ZFYVE21
264,SUMF1
265,ATG3
266,TNFRSF1B
267,GOLGA8A
268,ATOX1
269,GALNT10
270,HECA
271,RPRD1B
272,THRA
273,RIPK1
274,APPL2
275,MEST
276,SH3KBP1
277,NCBP1
278,TOR1A
279,GADD45B
280,PREP
281,FAF1
