,0
0,NFRKB
1,ZFC3H1
2,PRAF2
3,SPATS2
4,ZFPL1
5,PIGG
6,B4GALT4
7,TOP1MT
8,PTP4A3
9,ABT1
10,ATG16L1
11,TARS2
12,SDCCAG3
13,ARMC1
14,MMAB
15,TTC38
16,TAF2
17,OXCT1
18,TMEM173
19,ADCK4
20,ZC3H3
21,PGM2
22,GPC4
23,HTRA2
24,ISG20L2
25,ANKZF1
26,RFC2
27,CTNNAL1
28,REXO4
29,R3HDM1
30,ZBTB40
31,ZNF428
32,LPPR2
33,REV1
34,MRPS33
35,TRIM37
36,MARVELD1
37,ITSN1
38,CYBB
39,CKS1B
40,CDK19
41,NAPG
42,GLIS2
43,C1orf27
44,FOXM1
45,DEXI
46,S100A9
47,NUP43
48,BCAS4
49,MYEOV2
50,QTRT1
51,KRCC1
52,CRAMP1L
53,FCHO2
54,ARHGAP27
55,ABAT
56,TC2N
57,DNMBP
58,TJAP1
59,EEA1
60,SLC43A2
61,ENPP2
62,GNL3L
63,UTP3
64,MAP4K3
65,UCKL1
66,APEX2
67,CLN5
