,0
0,TOP3B
1,URB2
2,RORA
3,TBC1D7
4,VPS33B
5,CCDC149
6,SRD5A1
7,NTHL1
8,FGD5
9,GRB7
10,LYAR
11,MFHAS1
12,PLEKHA3
13,MRPS28
14,ELK3
15,KIAA1549
16,CCNA2
17,DHX58
18,ZNF91
19,ZCCHC9
20,FUNDC1
21,GLCCI1
22,ADAP1
23,UBTD1
24,TGFA
25,PLSCR4
26,ABLIM3
27,RAPGEFL1
28,HAUS7
29,METTL8
30,STOML1
31,HEPH
32,TECPR1
33,INHBB
34,MREG
35,YOD1
36,PRMT3
37,PCDH7
38,ARHGEF35
39,GPR160
40,LIN54
41,PQLC2
42,RSPRY1
43,HYI
44,CD40
45,ZNF197
46,EPC1
47,G2E3
48,ITGB6
49,ALOX5
50,AIF1
51,SFT2D3
52,BRF2
53,AKAP10
54,KLHDC4
55,ZNF480
56,KCTD18
57,HACL1
58,KIAA0753
59,DOCK4
60,TBX2
61,KCNAB2
62,PIAS1
63,MAST4
64,REEP6
65,RIC8B
66,RASSF8
67,CASP8AP2
68,AP4B1
69,PIN4
70,TDRD3
71,GCLM
72,ACER3
73,RAPGEF3
74,E2F1
75,SNX25
76,INO80B
77,MTMR9
78,THTPA
79,DHRS4L2
80,MAP1LC3A
81,STEAP4
82,CLPB
83,FRAT2
84,PPP4R2
85,CKLF
86,PFDN4
87,NR2C1
88,RHOBTB1
89,XYLT1
90,STXBP5
91,ZNF251
92,DTNB
93,TCEAL1
94,AMIGO2
95,CAB39L
96,ZNF627
97,TYRO3
98,MED6
99,BOC
100,PGGT1B
101,IPPK
102,NEDD4
103,PLS1
104,TFPT
105,TPPP3
106,HBA2
107,DNAL1
108,SLC16A2
109,LACTB2
110,FAM134B
111,ZWILCH
112,PPAT
113,CD83
114,DDX59
115,ARHGAP19
116,OGG1
117,FAM110A
118,YEATS4
119,PSPH
120,GEM
121,FAM103A1
122,ZNF580
123,RCE1
124,UNKL
125,RWDD2B
126,LRRCC1
127,NDN
128,TSPAN12
129,DAAM1
130,ARRB1
131,MCAT
132,PIGH
133,CLK4
134,TUBGCP5
135,TDP1
136,CHST12
137,FAM73A
138,FBXL12
139,FAM114A2
140,CHST2
141,CEP290
142,MX2
143,MAPK8IP1
144,TMEM223
145,FAM118A
146,TOR1AIP2
147,WDR47
148,RAB40B
149,CHCHD5
150,PODN
151,OGFOD2
152,B3GALNT1
153,ARL6IP6
154,MRVI1
155,ISCA2
156,C9orf64
157,RPA3
158,SLC22A5
159,FAM135A
160,DBP
161,PLEKHG5
162,ALDH6A1
163,GALT
164,ST6GALNAC4
165,USE1
166,RALGAPA2
167,DTNBP1
168,WDR44
169,CDKN2C
170,SLC19A1
171,C12orf65
172,IL1RAP
173,RCL1
174,PRKAR1B
175,UCK2
176,ABCA7
177,CASP9
178,IER5L
179,C15orf57
180,ADAM19
181,CSGALNACT1
182,RCBTB2
183,TTC33
184,DEF6
185,CHTF18
186,ICAM3
187,PDE5A
188,MGMT
189,KIF3A
190,GTF3C4
191,GNG2
192,COMMD10
193,NLE1
194,POLR3K
195,ALPL
196,FANCG
197,CCDC85B
198,WASH2P
199,DIRC2
200,TPCN2
201,PNKP
