,0
0,PGAP2
1,HPRT1
2,GFRA1
3,ARSD
4,FBF1
5,MRPL19
6,SLC25A26
7,LYRM7
8,USP6NL
9,TRMT1L
10,GAN
11,PIGN
12,PHLPP2
13,XPNPEP3
14,DGKE
15,ADCK2
16,APOOL
17,LSM7
18,EEFSEC
19,SDCCAG8
20,METTL2B
21,POLR2D
22,BHLHE41
23,KLHL26
24,MAGEH1
25,IMPA1
26,CTSS
27,PLAGL2
28,FLI1
29,LLPH
30,STXBP2
31,DUSP8
32,MIS12
33,MYOM1
34,XRCC3
35,LRRC57
36,DUSP23
37,TSPAN13
38,ACSF3
39,LANCL2
40,SLC25A42
41,TRIT1
42,TMEM170A
43,GUCY1B3
44,DDX10
45,WRAP73
46,ADAM19
47,CLUAP1
48,RNF152
49,PRKX
50,CRIP1
51,MRPL54
52,ABCB10
53,CSTF3
54,UBTD1
55,TMEM19
56,YOD1
57,UCHL1
58,MARCH9
59,TPMT
60,AFAP1L2
61,ZNF75D
62,C19orf24
63,C1orf174
64,BTG3
65,POLR3C
66,ZDHHC4
67,GCC1
68,FBXO46
69,UBE2D1
70,CDH11
71,GABRE
