,0
0,0
1,MT-ND4
2,MT-CO1
3,MT-CO3
4,MT-CYB
5,MT-CO2
6,MT-ATP6
7,MT-ND2
8,MT-ND1
9,MT-ND5
10,EEF1A1
11,ACTB
12,MT-ND3
13,EEF2
14,MT-ND4L
15,ACTG1
16,FTL
17,RPL3
18,RPL13A
19,TPT1
20,MT-ATP8
21,RPL4
22,MT-ND6
23,AHNAK
24,SRRM2
25,B2M
26,PSAP
27,RPS6
28,FLNA
29,RPL13
30,RPL10
31,GLUL
32,GAPDH
33,RPLP0
34,GNAS
35,HSP90AB1
36,ALDOA
37,TMSB4X
38,RPLP1
39,EEF1G
40,RPL7A
41,RPS18
42,TXNIP
43,MYH9
44,RPS4X
45,RPS11
46,HSP90AA1
47,RPL19
48,RPL8
49,GSN
50,DDX5
51,RPS8
52,RPS3
53,SPARC
54,RPL5
55,HNRNPA2B1
56,RPL15
57,HSPA8
58,UBC
59,EIF1
60,VIM
61,PKM
62,RPL7
63,RPL32
64,LENG8
65,ENO1
66,RPS12
67,EIF4G2
68,HLA-E
69,HNRNPA1
70,RPL37A
71,PLEC
72,RPSA
73,RPS27A
74,RPS9
75,RPS24
76,RPS27
77,CSDE1
78,RPS20
79,ATP5B
80,CLU
81,HLA-B
82,PABPC1
83,APP
84,RPS14
85,RPL11
86,CTSB
87,RPL27A
88,TMBIM6
89,TLN1
90,PTMA
91,ITM2B
92,SPTBN1
93,RPL6
94,RPL12
95,CD81
96,CALM1
97,CTSD
98,RPL28
99,RPL18
100,RPL10A
101,LRP1
102,FTH1
103,RPS19
104,MAP4
105,RPLP2
106,CFL1
107,RPL17
108,TNS1
109,RPL31
110,MYL6
111,RPL9
112,CST3
113,RHOB
114,YWHAZ
115,SRSF5
116,CALM2
117,BSG
118,RPL29
119,RPL23
120,RPL21
121,RHOA
122,HSP90B1
123,HSPB1
124,HDLBP
125,GPX3
126,ATP5A1
127,COL6A1
128,HNRNPK
129,RPS5
130,ACADVL
131,RPS10
132,RPL37
133,RPS17
134,APLP2
135,HLA-C
136,SOD2
137,SF3B1
138,ATF4
139,OAZ1
140,HNRNPU
141,CIRBP
142,SLC25A6
143,MACF1
144,DUSP1
145,SNRNP70
146,HLA-A
147,RPS15A
148,ARF1
149,ZFP36L1
150,ATP1A1
151,FAM159B
152,EIF4A2
153,RPS3A
154,CANX
155,NCL
156,SPARCL1
157,COL6A2
158,YBX1
159,MCL1
160,CSRP1
161,RPS7
162,A2M
163,EIF4A1
164,RPL24
165,CD63
166,RPL26
167,CD74
168,DSTN
169,UBA52
170,HNRNPDL
171,DCN
172,TIMP2
173,SPTAN1
174,TPI1
175,RPL27
176,RPL18A
177,RPS23
178,RTN4
179,ACTN4
180,YWHAE
181,EIF4G1
182,SLC25A3
183,HSPA5
184,FKBP8
185,RPL34
186,TPM4
187,DYNC1H1
188,NAP1L1
189,TSC22D3
190,FN1
191,CD59
192,RPL30
193,IFITM3
194,RPS15
195,NDRG1
196,DST
197,ADD1
198,RPL35A
199,CCNI
200,GLTSCR2
