,0
0,ATCAY
1,PCDHGA3
2,KLRG2
3,SYT9
4,SLC26A10
5,TNNI2
6,FGL1
7,COL9A1
8,DLX6
9,ZSCAN23
10,MYOZ3
11,AGBL2
12,ANO4
13,STK32A
14,NR1H4
15,ABCA10
16,HOXD4
17,FSIP1
18,CLCA4
19,SFTA3
20,PKLR
21,TBX21
22,FAM180A
23,NR1I2
24,HAMP
25,ANKRD45
26,HHIP
27,CLEC18B
28,MAGEA6
29,NRG2
30,PTCHD2
31,JSRP1
32,CCDC39
33,DLK1
34,B3GALT2
35,C16orf71
36,PCDHGC5
37,PADI3
38,POLN
39,PIP
40,IL1A
41,PCDHGA1
42,FZD9
43,CPB1
44,KCNJ3
45,TMEM145
46,POPDC3
47,LCN10
48,TRPM6
49,PIP5KL1
50,SLC8A2
51,FLT3
52,SERPINB4
53,ULBP1
54,CXCR2
55,SHD
56,NAT8
57,CCR10
58,CEACAM21
59,CHRM1
