,0
0,NFATC3
1,RAC2
2,ZBTB41
3,DCP1A
4,HOMER3
5,ETV5
6,INPP4A
7,NLGN2
8,NAT9
9,KIF21A
10,KRT5
11,ZBED4
12,B4GALT7
13,SESN1
14,ZCCHC3
15,TMEM159
16,RGMB
17,STRA13
18,SPRY1
19,DIP2C
20,DUSP5
21,TERF2
22,IFT52
23,DARS2
24,MYCBP
25,SELK
26,PLEKHG2
27,TAF9B
28,EIF4ENIF1
29,PHKG2
30,TLK2
31,TULP3
32,SLC9A8
33,KLF4
34,RAB8B
35,THSD4
36,TAF11
37,RAB25
38,PPARA
39,C1orf123
40,MAP3K4
41,ASNS
42,TAF1D
43,RAB3IP
44,PPP2R5E
45,LRRC42
46,NFIL3
47,UBE2W
48,HSD3B7
49,CLMN
50,UBN2
51,STRADA
52,VASH1
53,SMAD1
54,PIGX
55,CYP4V2
56,STYXL1
57,FBXO3
58,FSTL3
59,GTF2H5
60,FBLN5
61,RNF34
62,PHF13
63,PSD3
64,DHX37
65,ARL3
66,ZNF264
67,IAH1
68,TRAPPC5
69,TEAD2
70,STRN3
71,MDFIC
72,MCF2L
73,RPF1
74,OLFML2A
75,PLA2G15
76,ELF4
77,PDHX
78,CNNM4
79,RCBTB1
80,TPST2
81,NSDHL
82,SYNPO2
83,CSNK1G3
84,CHCHD10
85,COQ10B
86,FNIP1
87,CKAP2
88,TRIB3
89,PTDSS2
90,LAMA3
91,TMTC3
92,ZNF639
93,LANCL2
94,NDUFS4
95,PEG10
96,TLN2
97,EGFR
98,ETHE1
99,LYST
100,CHKA
101,TAPBPL
102,RUNDC1
103,POLD1
104,TM7SF2
105,ALG1
106,ZNF787
107,NFS1
108,MAP3K5
109,TRAPPC2L
110,KIAA1143
111,MRPL2
112,UHRF1BP1
113,FAH
114,EIF2B2
115,RECQL5
116,BRE
117,CDR2
118,ZNF83
119,UTP11L
120,CPM
121,POP4
122,TAF5L
123,FNTB
124,TSEN15
125,AEN
126,ZNF33B
127,NCKIPSD
128,GUF1
129,GAS7
130,AP1M2
131,MAP3K6
132,PDIA5
133,HNMT
134,HOOK2
135,KIAA1279
136,C7orf49
137,ANO10
