,0
0,0
1,PATE1
2,CRISP1
3,MT1B
4,SCGB1D4
5,PATE4
6,CYP11B2
7,SMR3A
8,LALBA
9,CSN2
10,AMBN
11,PRB4
12,MYF5
13,LGALS14
14,GDF2
15,CSN1S1
16,HTN3
17,S100G
18,CGB1
19,SULT1C3
20,SPANXA2
21,KRT71
22,ADAM7
23,LCE2B
24,PPP1R3A
25,TRIM48
26,HDGFL1
27,SYCN
28,MS4A10
29,KRT38
30,LCE2C
31,PRB1
32,CLEC1B
33,FTHL17
34,INSL5
35,RHO
36,CELA2B
37,CER1
38,TMEM207
39,OTOR
40,HTN1
41,KRT76
42,LIM2
43,LCE1B
44,DDX4
45,LCE2A
46,GNAT1
47,SPANXC
48,PNLIPRP1
49,PRB2
50,SYCP3
51,AIPL1
52,ATP1B4
53,SEPT14
54,C1orf68
55,MC2R
56,TCHHL1
57,LUZP4
58,PSMB11
59,TMEM114
60,RBPJL
61,NPPB
62,PRDM14
63,KCNG4
64,CSN3
65,RBMXL2
66,AHSP
67,GLYATL3
68,NLRP5
69,PRAMEF10
70,INSL4
71,RHAG
72,FRG2C
73,VSX2
74,PRAMEF4
75,GPRC6A
76,NKX2-4
77,MYL7
78,CELA2A
79,SIX6
80,SPANXB2
81,ASB11
82,HTR3E
83,CT45A4
84,LCN1
85,KRT84
86,C17orf78
87,CHRND
88,PAGE1
89,PSG9
90,KRT33A
91,DRGX
92,KCNK16
93,CLDN22
94,STATH
95,GHRH
96,IAPP
97,TMIGD1
98,NEUROD6
99,RDH8
100,MMP26
101,KRTAP3-1
102,KCNU1
103,KRT85
104,PRKAG3
105,OTOP2
106,CRYBA4
107,LHCGR
108,MS4A3
109,DPPA5
110,ADAM2
111,PASD1
112,SLC7A13
113,HTR5A
114,T
115,SPATA21
116,CCKAR
117,ONECUT3
118,SERPINB10
119,CCDC140
120,ATP6V1G3
121,CEACAM8
122,C10orf71
123,RNF17
124,RHOXF2B
125,GIP
126,OTP
127,FGF8
128,CELA3B
129,CT45A2
130,CHRNG
131,GJD2
132,CYP2A13
133,PSG8
134,ASCL4
135,PRL
136,KRT33B
137,SMR3B
138,SEMG2
139,GSG1
140,CYP11B1
141,PRDM7
142,CLPS
143,AADACL2
144,ZNF804B
145,UGT1A5
146,DPPA3
147,CAV3
148,C4orf26
149,RAG2
150,GPR78
151,KCNV2
152,MEPE
153,DCDC2B
154,NPHS2
155,PPY
156,MYF6
157,UTF1
158,ZNF716
159,OVCH2
160,G6PC2
161,IGLL1
162,TMPRSS15
163,TEX101
164,ATP4B
165,ZSCAN10
166,SLC38A8
167,SEC14L3
168,PNLIP
169,MEP1B
170,MS4A12
171,CYP3A43
172,VSTM1
173,CARD18
174,MYH13
175,UTS2R
176,SP9
177,RFPL4B
178,ACER1
179,CTRB1
180,CCDC144NL
181,EPX
182,NAA11
183,ZAN
184,CGB8
185,RBP3
186,FGF3
187,FAM9C
188,VGLL2
189,GAGE2A
190,ANKRD33
191,LHX3
192,GLP2R
193,SLC17A6
194,C8orf22
195,DSG4
196,MC4R
197,TFDP3
198,GATA1
199,DPPA2
200,HBE1
201,LCE1C
202,CT45A3
203,SP7
204,HSD3B1
205,SPINK8
206,CA6
207,CELA3A
208,SERPINB12
209,KRT3
210,FBP2
211,DGKK
212,GADL1
213,GIF
214,CEACAM20
215,COX7B2
216,RSPH6A
217,HEMGN
218,GOLGA6L6
219,MAGEB1
220,OTX2
221,DAZL
222,LOR
223,SLC22A13
224,MAGEA8
225,SLC36A2
226,AGRP
227,KRT12
228,C6orf58
229,NUP210L
230,FRMD7
231,MYOD1
232,KCNA7
233,SPATS1
234,RIT2
235,RETNLB
236,POTEG
237,CTRC
238,PSG5
239,PROL1
240,PSG1
241,RPL3L
242,C17orf77
243,ALX4
244,FCRL4
245,HTR6
246,GAGE1
247,KRTAP5-8
248,DMP1
249,GKN1
250,ACTN3
251,TSPAN19
252,CHRM2
253,GAST
254,SELV
255,SLC6A18
256,FAM169B
257,AIRE
258,IGFL3
259,KRT74
260,HSF5
261,C11orf85
262,GPR50
263,KRT36
264,OXT
265,CLNK
266,LACRT
267,NDST4
268,KCNH7
269,AKAP14
270,MYOG
271,SLC4A9
272,SOX14
273,SPATA22
274,CST9
275,FOXI3
276,DRD5
277,DCD
278,BEST2
279,VCX
280,LMOD2
281,GPHA2
282,RIPPLY1
283,SSX4
284,TSGA10IP
285,TMEM211
286,CLEC4M
287,HBD
288,SPRR4
289,NPPC
290,LHX5
291,ABRA
292,SAGE1
293,PNPLA5
294,NPBWR1
295,HYAL4
296,KCNH5
297,FAM71F1
298,CPO
299,ADRB3
300,SNTG2
301,RCVRN
302,WNT1
303,CTRB2
304,HMX2
305,MRGPRE
306,NLRP4
307,CYP2F1
308,AQP10
309,AVPR1B
310,CTXN3
311,CCDC155
312,LHFPL5
313,CLC
314,TMC1
315,FMO6P
316,PAGE2B
317,PHOX2B
318,SEMG1
319,MUC7
320,FOXE3
321,LHB
322,FLG2
323,DNTT
324,TAL2
325,SLC22A25
326,KIR3DL2
327,FGF20
328,RBM46
329,RNASE3
330,CRISP2
331,BSND
332,ANGPT4
333,NEUROG2
334,MYBPC3
335,GOLGA6B
336,DNMT3L
337,TRIM40
338,C1orf87
339,GPR111
340,FAM71E2
341,XKR7
342,KRT32
343,BTN1A1
344,OR2B6
345,ERAS
346,GSTA3
347,CDK15
348,RNASE10
349,APOBEC4
350,LRRC18
351,SPINK13
352,NEUROD4
353,OBP2A
354,SLC22A8
355,FBXO40
356,GPR25
357,DEFB103B
358,IL1RAPL1
359,ASIP
360,CACNA1S
361,TBX20
362,CALHM1
363,LOC93432
364,TMC3
365,CRH
366,CDH9
367,SV2C
368,KRT27
369,UGT2B28
370,HES7
371,CTXN2
372,ABCC12
373,PAGE5
374,MCCD1
375,INSM2
376,GRIN2B
377,CALML6
378,IL17C
379,TCL1B
380,TBR1
381,GDNF
382,IL1RAPL2
383,GPR182
384,TRIML2
385,C12orf74
386,SYT10
387,C1orf158
388,CACNG2
389,UCN3
390,INS
391,TMEM196
392,LRIT2
393,TTC29
394,DCAF4L2
395,KLHL1
396,RFPL1
397,TULP1
398,TNFSF18
399,DEFA1B
400,PAGE2
401,OTOP3
402,CCDC37
403,H2AFB1
404,KRT34
405,NPSR1
406,FEZF2
407,HIST1H1B
408,TUBA3C
409,CSRP3
410,C4orf6
411,CLEC12B
412,NANOG
413,KRT40
414,SERPINA12
415,KRT77
416,ARL17B
417,CRYBB3
418,MRAP
419,RHOXF1
420,ATP4A
421,ATOH1
422,ASB4
423,SSX2
424,SH2D4B
425,REG3G
426,PABPC1L2A
427,ACRV1
428,C1orf177
429,DEFA5
430,AICDA
431,SERPINI2
432,S100Z
433,ZSCAN4
434,SERPINA9
435,SPINK6
436,GAD2
437,LCN15
438,LIPF
439,C17orf99
440,RD3
441,CA5A
442,RXFP4
443,EPGN
444,DEFA6
445,CXorf22
446,GCG
447,LHX8
448,CT45A5
449,SYNGR4
450,KLHL34
451,PDYN
452,PRRG3
453,CALHM3
454,CGB5
455,SLC26A5
456,CEBPE
457,GUCA2B
458,CLDN20
459,LCE3E
460,TRIM71
461,SNTG1
462,HAND1
463,PRB3
464,KLF14
465,HBG2
466,CACNG3
467,TMPRSS11B
468,GPR22
469,A4GNT
470,SLC32A1
471,WDR87
472,AMHR2
473,KCNA4
474,LMX1A
475,GFI1B
476,MPP4
477,DNAI2
478,SH2D6
479,KLF1
480,TEX19
481,PRSS45
482,PF4V1
483,SLC34A1
484,CMA1
485,MYH4
486,CNGB3
487,SCRT2
488,KPRP
489,OR2L13
490,IL12B
491,KCNJ6
492,GLRA2
493,KRTAP4-1
494,PMCH
495,BRDT
496,LRRIQ4
497,TMPRSS11F
498,C9orf135
499,TAS2R4
500,C1orf94
501,GNG13
502,TPTE
503,LCN6
504,PGA5
505,CYP4A22
506,NPY2R
507,HTR1B
508,CGB
509,OLAH
510,LCT
511,LRRC14B
512,XCR1
513,SSTR3
514,RPRML
515,ZNF157
516,C14orf39
517,GCM1
518,SDR9C7
519,C9orf170
520,C12orf54
521,KCNG2
522,MRGPRX3
523,DNAJB7
524,DEFB132
525,AQP12B
526,TLX3
527,LIN28A
528,SPTA1
529,MARCH11
530,TMOD4
531,FGF21
532,PRTN3
533,TMEM174
534,NEUROD2
