,0
0,SGCB
1,RFC1
2,PHF8
3,ZMYM4
4,TBC1D15
5,C16orf58
6,RANBP10
7,VPS8
8,AXL
9,NINJ1
10,LSM14B
11,IBTK
12,VEZT
13,ARID4B
14,PAK1
15,C18orf32
16,MYO10
17,XPNPEP1
18,OLA1
19,PLIN4
20,SMIM7
21,TECPR1
22,SEC24C
23,ARHGEF18
24,LMBR1L
25,MRAS
26,NPC1
27,MAN1A2
28,UHMK1
29,SH3PXD2B
30,PRR14
31,SLC20A1
32,CUEDC2
33,DHPS
34,MARK4
35,TRAPPC8
36,LAPTM4B
37,TXNDC15
38,CCDC85B
39,GUSB
40,GATAD1
41,DYM
42,SGPL1
43,HIVEP2
44,ZNF266
45,THAP4
46,SLU7
47,DERL1
48,PIAS1
49,ARRDC1
50,PRKAG1
51,PES1
52,NES
53,FBXL3
54,RBM15B
55,SNX12
56,OST4
57,CACYBP
58,F11R
59,RDH11
60,TLK1
61,ADM
62,RPS27L
63,C1QTNF1
64,SHMT2
65,RAB11FIP5
66,MRPL37
67,PPP4R2
68,DMTN
69,POM121C
70,SNX13
71,PNMA1
72,TWF2
73,PNKD
74,MAPK9
75,TRABD
76,UQCR10
77,SSH2
78,MGST1
79,EMC1
80,DCUN1D4
81,SLC39A9
82,OTUD4
83,EMP2
84,ITGB4
85,ATP6V1D
86,USP8
87,TEP1
88,DOCK5
89,FAXDC2
90,FAM193A
91,TEF
92,NPRL3
93,UGCG
94,ZNF280D
95,APRT
96,IL13RA1
97,DNTTIP2
98,ZCCHC11
99,REXO1
100,NDUFAF3
101,ACAD11
102,GINM1
103,MRPL51
104,NOP58
105,YTHDC2
106,HPS4
107,SNRPA
108,EIF2AK2
109,GMFB
110,TMCO1
111,PHF20
112,MARCH8
113,RASA3
114,RCAN1
115,TMEM147
116,TP53BP2
117,CSK
118,UBN2
119,TANC1
120,NUDT4
121,LIPA
122,RASSF1
123,MTCH2
124,C8orf33
125,STK38L
126,CHD1
127,C11orf68
128,PPME1
129,PYGO2
130,CUL9
131,CROCC
132,JAM3
133,UBA7
134,ATAD1
135,BMI1
136,PHF21A
137,C16orf62
138,PPIL2
139,ATP13A2
140,PRPF38A
141,CARS
142,ANKIB1
143,ZNF692
144,SATB1
145,KIAA1429
146,MANBAL
147,APOL2
148,ACADM
149,SPPL2A
150,MFN1
151,TTC29
152,ABCD3
153,CBL
154,CDK11B
155,EXOC1
156,ICE1
157,QTRT1
158,HMCES
159,SUCLG2
160,POLE
161,SRP54
162,DYNLT1
163,RNF14
164,TNFRSF10B
165,TP53BP1
166,NUP133
167,C5orf24
168,SLC27A1
169,TXNDC11
170,PPRC1
171,KIAA0355
172,PRKD2
173,SCAF4
174,CDK12
175,GOLGA7
176,CDK2AP2
177,ANAPC2
178,ERI3
179,SCYL2
180,SNTA1
181,SNRPD3
182,COQ9
183,SIGMAR1
184,SAP30L
185,GMPS
186,TRIM22
187,SACM1L
188,STXBP3
189,PTGES2
190,CAMSAP1
191,MKLN1
192,MAF
193,MRPS18B
194,FMNL3
195,NUP205
196,KPNA3
197,TBRG4
198,ZADH2
199,TIMMDC1
200,DROSHA
201,SCOC
