,0
0,NRTN
1,LRRC36
2,CDH15
3,SMPDL3B
4,MYO1A
5,RAD54B
6,CPA4
7,C20orf202
8,GPR85
9,HOXB5
10,PM20D1
11,GPR182
12,TUBB1
13,CATSPERB
14,KRT23
15,TMEM151A
16,HOXA10
17,SPEF1
18,HMGCS2
19,GVQW2
20,IRF4
21,ALPK2
22,OGDHL
23,RAET1G
24,WNT16
25,GLS2
26,LRRTM1
27,C10orf107
28,SKA3
29,KCTD8
30,SLC26A5
31,CEP57L1
32,CNDP1
33,WDR88
34,CRNN
35,PCDHA3
36,DSG1
37,TNN
38,MND1
39,CALML5
40,GRHL3
41,CD48
42,DCST1
43,COX6B2
44,EPHA5
45,C9orf163
46,TMEM150B
47,MKRN3
48,FPR2
49,CUX2
50,ZIC1
51,CHRNA5
52,ZNF474
53,RAB41
54,POU5F1B
55,LEP
56,OPTC
57,TIGD4
58,NXF3
59,OIP5
60,LOR
61,TMEM179
62,SMIM17
63,LYPD6B
64,EFCAB5
65,FOXD1
66,TMEM26
67,MCEMP1
68,GDPD2
69,ZBED6
70,VGF
71,FAM69C
72,PLAC8L1
73,GRHL2
74,C20orf197
75,GDAP1L1
76,CKAP2L
77,PADI4
78,HSPB3
79,THRSP
