,0
0,MED31
1,SDS
2,KLF15
3,DYRK3
4,NAT1
5,TP63
6,CHRDL1
7,AGAP2
8,PCBP4
9,GOLGA6L9
10,SIX4
11,SCN4B
12,EMR2
13,ZNF799
14,RGPD4
15,PLEKHH2
16,ZNF449
17,COL10A1
18,EPM2A
19,APOOL
20,RIPK3
21,SLC25A45
22,LCK
23,TIGD1
24,OLFML1
25,TLR3
26,RASD2
27,PLD6
28,NAP1L5
29,LAYN
30,WDR72
31,KLK10
32,RAB38
33,ATP2C2
34,B4GALT6
35,SLAIN1
36,SORCS2
37,LMBRD2
38,SLC4A11
39,LYPD1
40,PGBD2
41,VPS13C
42,RAD54L2
43,CIB2
44,PLCH2
45,ZBTB12
46,TNFRSF10D
47,KCNIP3
48,PAOX
49,NIPAL2
50,TPSAB1
51,CACNG4
52,SPDEF
53,TF
54,GLRX2
55,HMGN5
56,EDARADD
57,RAD52
58,PAQR5
59,HSBP1L1
60,KIF15
61,NOSTRIN
62,C11orf52
63,CEP76
64,TMEM200A
65,AOX1
66,APLP1
67,SERPINB5
68,MEIS3
69,OGDHL
70,GNAO1
71,DSCC1
72,BMPR1B
73,RTN4R
74,ZNF417
75,ZC3H8
76,FGF11
77,VGLL3
78,PPARGC1A
79,TMEM117
80,SLC2A6
81,ANKRD37
82,KRT6B
83,KIAA1211
84,PTPN7
85,SOBP
86,PIK3R5
87,ANKRD32
88,KCNC3
89,HSF4
90,DCLK2
91,ALDH3B2
92,CCDC74A
93,SLC25A32
94,DNHD1
95,TIRAP
96,P2RY11
97,CLCF1
98,OLR1
99,ZNF431
100,TRIM45
101,ZNF626
102,SPATA18
103,KLHL13
104,HSH2D
105,FOSL1
106,SOX6
107,SASS6
108,ZSWIM5
109,FAM83G
110,ODF3B
111,FMO5
112,SOX7
113,LIPE
114,NRGN
115,CCBL1
116,RBL1
117,MYL5
118,TAF4B
119,EDIL3
120,TSPAN11
121,CLEC7A
122,CDC25A
123,SLC25A35
124,ZC4H2
125,ALDOA
126,ZDHHC21
127,ZNF549
128,SEMA6D
129,SLC25A40
130,SEC61A2
131,ELK4
132,CHRD
133,SLC11A1
134,VEGFC
135,MYB
136,PRR15
137,HHLA3
138,GRASP
139,TBC1D3B
140,SLC9A9
141,ZNF441
142,ZNF155
143,CPEB3
144,BLM
145,SLC22A3
146,TRAPPC2P1
147,MC1R
