,0
0,FAM122C
1,ZNF717
2,PREX2
3,ITGA8
4,FOXE1
5,ABCC2
6,FCN3
7,PPIAL4C
8,C2orf16
9,PCBP3
10,TSPAN10
11,MEOX1
12,COL11A2
13,CDKL2
14,MKX
15,COL13A1
16,ZNF214
17,CECR6
18,VWCE
19,PCDHGB4
20,SCN8A
21,ABCB4
22,CYP4F3
23,EMILIN3
24,DKK2
25,TIMP4
26,FOXD1
27,RUNDC3B
28,GLYATL1
29,C8orf44
30,PRDM5
31,TLL1
32,GPR158
33,PCDH9
34,STAC
35,CDHR3
36,ABCA9
37,EPHX3
38,LRRC46
39,SOX10
40,PRAP1
41,C1orf204
42,PI16
43,MEF2B
44,ANKRD24
45,CITED1
46,SFTPD
47,HOXC9
48,CNIH2
49,RNF165
50,RADIL
51,ENPP3
52,ADAMTS6
53,MAST1
54,ROR1
55,GJB5
56,MMP13
57,TXLNB
58,CNTD1
59,KREMEN2
60,NTNG2
61,MPZ
62,FAM124A
63,EBF3
64,SAMD13
65,HPX
66,TCEAL6
67,FMN1
68,HOXB8
69,ATP2B2
70,PCDHB3
71,PPM1E
72,ACVR1C
73,KCNJ10
74,PRG4
75,POU2F3
76,CALB2
77,PTX3
78,PPAPDC1A
79,ULBP2
80,KIF17
81,FBXO16
82,ZBED3
83,ZNF382
84,DGKH
85,RIBC1
86,GPAT2
87,IL2RA
88,ATP6AP1L
89,TCF21
90,GFRA2
91,CR1
92,PCDHB8
93,SERHL2
94,NRG1
95,IL7
96,PABPC4L
97,PHACTR1
98,STAG3
99,GSTM5
100,CYP24A1
101,ZNF860
102,NEURL2
103,PNMA3
104,ZNF578
105,ZDHHC15
106,CNR1
107,MFSD2B
108,AVIL
109,MEI1
110,SSTR1
111,GATC
112,ACTR3C
113,MMP10
114,MYOM3
115,ZNF396
116,PCP4
117,ADAMTS3
118,PRR19
119,CST6
120,KLHL35
121,SV2B
122,DOK6
123,FRMD3
124,ZC3H12B
125,GJC2
126,PRH1
127,FAM155A
128,FOXD2
129,GAD1
130,FGF12
131,CENPI
132,FIGN
133,CDSN
134,FXYD2
135,TMEM171
136,LONRF3
137,HIST1H2AE
138,NPR3
139,PTGFR
140,PRKG1
141,AIFM3
142,VMO1
143,IQCD
144,SOX11
145,ZC3HAV1L
146,NOVA2
147,DPEP2
148,SYPL2
149,TMPPE
150,IGSF10
151,RASGRF1
152,ORM1
153,SLA2
154,PALM2
155,ZNF70
