,0
0,TEX30
1,SGSM1
2,LYL1
3,GPR17
4,CDK5R1
5,LAMC2
6,IRF8
7,HLA-DOA
8,TUBB3
9,ZNF92
10,WIPF3
11,C16orf86
12,PRIM2
13,ZNF519
14,KCNS3
15,GTF2IRD2
16,ENPP5
17,SPRY3
18,FYB
19,ZNF225
20,ANKS4B
21,PANK1
22,QPCT
23,COLQ
24,RASAL3
25,TMEM177
26,ANGPT2
27,ARHGEF5
28,RASD2
29,FBXW9
30,TCF7
31,PTPMT1
32,RARRES1
33,NEK11
34,PLCXD3
35,SMN1
36,KIAA1549
37,SERPINF2
38,RNLS
39,EGFLAM
40,PLB1
41,NAALADL1
42,NPHP1
43,CDCA3
44,ZNF283
45,PGBD2
46,CDCA4
47,NLRC3
48,PKP2
49,FANCD2
50,ESR1
51,TBX19
52,C4A
53,GPT
54,ZNF738
55,WDR83
56,SLC2A5
57,TPK1
58,SLC29A4
59,SEZ6L2
60,HHLA3
61,ZBTB42
62,COL21A1
63,VDR
64,SLC7A6OS
65,IMMP1L
66,IKBKE
67,TMEM86A
68,PIWIL4
69,ERCC8
70,TVP23C
71,BRF2
72,HELB
73,AMN1
74,CHST1
75,PIGW
76,ZSCAN22
77,MMRN1
78,SYCP2
79,ZNF845
80,ACHE
81,RASL10B
82,ZNF597
83,CEBPA
84,SRCIN1
85,SNAI1
86,BCO2
87,NR6A1
88,CLDN1
89,TMC4
90,SLC18A1
91,PAFAH1B3
92,C2orf76
93,FAM13C
94,GSTO2
95,PCED1B
96,FHIT
97,RELN
98,CAPS2
99,SLC16A4
100,AVIL
101,HIST1H2BD
102,AGAP5
103,ZNF714
104,FUT10
105,RTN4IP1
106,GPC6
107,TBC1D19
108,CENPP
109,KBTBD3
110,C6orf226
111,GOLGA8N
112,PRTFDC1
113,DENND1C
114,ZNF230
115,NANP
116,EYA2
117,ZNF382
118,PDCD2L
119,IL1RL1
120,PYCARD
121,ANKRD36C
122,RMDN2
123,FLVCR2
124,HPGD
125,IL18
126,PCBP3
127,STAG3
128,GFAP
129,WNT5A
130,EPHB2
131,ZNF284
132,SAMD12
133,PRSS53
134,KIF5A
135,SOX5
136,PDGFRL
137,ZNF2
138,PIK3AP1
139,ANKRD65
140,SLC35G1
141,TSPAN2
142,SLC46A1
143,SH2D4A
144,TCEAL2
145,THTPA
146,PRR4
147,CHAF1B
148,HAVCR2
149,MSR1
150,SLC26A10
151,FAM184A
152,SLC16A14
153,KIAA0895
154,ZNF571
155,BHLHB9
156,MARS2
157,C17orf49
158,C7orf31
159,TMEM200B
160,ZNF280C
161,GPX8
162,ST8SIA4
163,ATP6V1E2
164,CLEC7A
165,ZNF613
166,CLCF1
167,HAAO
168,PCDHB14
169,SYTL1
170,ADCY2
171,ACP5
172,PROX1
173,KDELR3
174,TBC1D30
175,C8orf44
176,ATP8B4
177,MIS18A
178,HOXB2
179,P2RX1
180,TFCP2L1
181,FAM185A
182,ZNF223
183,IPPK
184,SLC45A1
185,APBA2
186,SPIRE2
187,THAP9
188,ASB2
189,RNF223
190,ARNTL2
191,APLNR
192,SOX8
193,NLGN3
194,TBC1D32
195,SPIN4
196,SCNN1A
197,FANCM
198,PLAG1
199,ARHGAP20
200,MSS51
201,MAATS1
202,ZNF235
203,ITGAL
204,ZNF552
205,GNB1L
206,ZNF256
207,SPTB
208,FBXL18
209,METTL25
210,LRRC3
211,PAQR4
212,FBXL16
213,SFRP4
214,RUNX3
215,NAALAD2
216,BMP8B
217,ZNF619
218,SLC47A1
219,SUSD5
220,MYH7
