,0
0,SLC39A8
1,MVD
2,NUDT16L1
3,GBP4
4,KIAA1462
5,KLHL5
6,DBT
7,XAF1
8,RAP1GAP
9,NFIC
10,RBBP9
11,TSHZ1
12,ZNF76
13,TSPYL2
14,ZDHHC16
15,ZEB2
16,FRS2
17,DMAP1
18,THYN1
19,DMPK
20,SPPL2A
21,PRKX
22,LMAN2L
23,CCNT2
24,ZNF12
25,PC
26,SMC6
27,VANGL1
28,ECHDC2
29,RMND5B
30,KRIT1
31,SLC35A5
32,SH3RF1
33,SLC27A1
34,SIRT3
35,RUSC2
36,RPS26
37,DSTYK
38,INTS6
39,MYLIP
40,LSM7
41,RPE
42,VPS54
43,HDHD2
44,IFT122
45,TRIP11
46,EARS2
47,TRAF3IP2
48,C8orf4
49,SLC17A5
50,CSRP2BP
51,TCN2
52,THAP11
53,LCMT1
54,SLC25A22
55,UBTD2
56,ACOT13
57,PHKA2
58,ZCCHC6
59,C1orf115
60,PSMB9
61,NIT1
62,ROCK2
63,CASP4
64,ARMC8
65,TARBP1
66,TET3
67,FBRSL1
