,0
0,DHRS13
1,SETBP1
2,HIST1H2BD
3,GNPDA2
4,AVPI1
5,LMF1
6,MYEF2
7,SNX22
8,C1orf226
9,ZNF267
10,FAM165B
11,RMI1
12,MSI2
13,TNFRSF19
14,MLLT3
15,CYB561D1
16,SETMAR
17,MPHOSPH6
18,ACVR2B
19,MED18
20,RBM4B
21,IL17RA
22,SETD4
23,NRCAM
24,FKRP
25,SEPSECS
26,NAPB
27,SLA
28,FAM120C
29,IGF2BP2
30,ASPM
31,TBCCD1
32,RAD9A
33,DDX31
34,YAF2
35,TMEM79
36,NUDT2
37,ELMOD3
38,LRRC37A
39,SYNJ1
40,MANEAL
41,LRRC61
42,TFAP4
43,ATG4A
44,PPM1D
45,LPXN
46,TRNT1
47,WNK2
48,ZNF518B
49,RPP25
50,DCBLD1
51,TFCP2L1
52,SH2D4A
53,TFAP2A
54,COMMD8
55,SDSL
56,ETV4
57,ALS2CL
58,CRLF3
59,ACP6
60,ZNF496
61,ERMAP
62,PTBP2
63,UCHL1
64,TXNDC16
65,DOHH
66,EHD3
67,PEX3
68,FES
69,PPOX
70,SURF2
71,WBP4
72,PLA2G6
73,GPATCH3
74,IKBKE
75,TUBG2
76,JAK2
77,MPV17L2
78,ARHGAP39
79,MERTK
80,LRRC57
81,ELOVL6
82,FAM84A
83,ARMCX1
84,ASB3
85,CDKN2B
86,NAGPA
87,C7orf55
88,LRP12
89,INTS2
90,MAML3
91,DPP8
92,PKP2
93,KIAA1467
94,SCAPER
95,ENOX2
96,STX8
97,TOR2A
98,AASS
99,BZRAP1
100,CNN1
101,LRRC40
102,GIMAP6
103,CASP10
104,RC3H2
105,KALRN
106,TPST1
107,ATG16L2
108,RRP8
109,ETAA1
110,ZNF589
111,MEX3A
112,RILPL1
113,TCF7
114,RNASEL
115,TMEM45A
116,CDKAL1
117,ZNF506
118,ZBTB45
119,ARHGEF37
120,CCDC64
121,ZNF28
122,IQCK
123,DGAT2
124,EPPK1
125,ZFAND2A
126,USP18
127,ZNF74
128,C2orf43
129,PPAPDC2
130,NSMCE2
131,PRR5
132,RAB6B
133,DOCK10
134,RNF214
135,PDLIM4
136,GPR126
137,PLK3
138,ARHGEF19
139,KCNK1
140,CCDC88B
141,PABPC3
142,CD36
143,C7orf25
144,ALKBH2
145,ZNF75D
146,ADAMTS9
147,ARHGAP11A
148,MAD2L1
149,GUCY1B3
150,ZNF408
151,C1orf109
152,FAS
153,ALKBH4
154,SLC25A42
155,ABHD8
156,ZDHHC24
157,OMA1
158,GANC
159,ZNF468
160,LCP2
161,TTF2
162,CCDC101
163,KLHL28
164,NPHP3
165,MID2
166,NDUFAF1
167,ABCA5
168,ITGAX
169,IL16
170,HUS1
171,LYRM5
172,PLEKHM3
173,SCYL3
174,TRMU
175,KBTBD4
176,SYBU
177,PURA
178,CCDC106
179,PLXDC2
180,CAPRIN2
181,SS18L2
182,RAMP1
183,KIAA1731
184,C9orf89
185,ERI2
186,DMD
187,TAF6L
188,KCTD13
189,GDAP2
190,CPXM1
191,TMEM5
192,MST4
193,KCTD7
194,TMOD2
195,CASP1
196,ZNF133
197,AURKA
198,NAT14
199,INPP5E
200,GTF2IRD2
201,PALB2
202,PDIK1L
203,CDT1
204,DMKN
205,PAPOLG
206,NOD1
207,SNED1
208,DCP1B
209,CCNB2
210,KCNQ1
211,LZIC
212,KCNMA1
213,FYB
214,DYRK4
215,CEACAM6
216,NEK1
217,PITPNM2
218,ANKS3
219,EEF1E1
220,ZFP41
221,ATPAF2
222,GLB1L2
223,TRAPPC2
224,RNF113A
225,C16orf45
226,SHROOM1
227,HAUS1
228,NICN1
229,ZBTB24
230,PARP8
231,FBXO6
232,DCLRE1A
233,CNKSR3
234,SYDE1
235,RNMTL1
236,ERI1
237,SLC7A7
238,GLTSCR1
239,SCFD2
240,MRPS31
241,UBOX5
242,C19orf47
243,KCTD21
244,SVIP
245,HAUS3
246,ITGAL
247,PITPNC1
248,BBS10
249,WARS2
250,DEPDC5
251,SDPR
252,TSPYL5
253,TMOD1
254,EZH2
255,FPGT
256,DDX28
257,HSPB6
258,ETV1
259,PIBF1
260,TLR4
261,EXOSC8
262,DOCK11
263,TLE4
264,KIF2C
265,MAP2K5
266,C1GALT1
267,COX19
268,RFC3
269,AVL9
270,OLFM2
271,IL18BP
272,ZNF205
273,RNF219
274,SERGEF
275,THAP3
276,LRP4
277,ZC3H12A
278,PHKA1
279,TTC23
280,LPAR2
281,LEPREL1
282,SLC31A2
283,ZNF319
284,PTER
285,C2orf47
286,TTC9
287,TTC13
288,WHAMM
289,LAIR1
290,DHFR
291,CALHM2
292,RHOD
293,FAM174A
294,ELTD1
295,TTF1
296,C15orf52
297,PTCH1
298,FBXO33
299,NLN
300,STRADB
301,TPRKB
302,C19orf54
303,KLF2
304,VLDLR
305,CYGB
306,NOL12
307,LACTB
308,CCDC3
309,EFS
310,CASP6
311,NCKAP1L
312,THEM4
313,ZBTB42
314,EXOSC3
315,TMEM39B
316,TMTC1
317,PVRL4
318,FAM21A
319,GCNT1
320,MZF1
321,ZNF195
322,CDC37L1
323,LMTK2
324,MS4A7
325,MTM1
326,ZNF830
