,name,recon_1
230,CXXC1,0.83111745
231,CXorf48,0.18112974
232,CXCL16,0.7724991
233,ZNF586,0.68836635
234,ADH6,0.36797342
235,SYCP3,0.36444774
236,TAS2R20,0.3961028
237,SPG11,0.77666044
238,MIS18BP1,0.74886274
239,HIST3H3,0.3410596
240,WBP1L,0.9614882
241,POLR2H,0.8020205
242,PFKL,0.80810255
243,HOXD13,0.57861257
244,ULBP2,0.7503206
245,GRIP1,0.6523029
246,SDC4,0.7813273
247,KIAA1614,0.6104345
248,MAP4,0.80317706
249,CABP4,0.4365404
250,FADS3,0.7676628
251,NKG2-E,0.37147617
252,CEP19,0.67068595
253,SENP7,0.6790927
254,N4BP1,0.79072434
255,OLAH,0.3497132
256,GPX2,0.7949941
257,RP13-996F3.5,0.3401043
258,TTLL1,0.6763175
259,SMPD1,0.7613323
260,STX10,0.7854112
261,ARAP3,0.71437305
262,JUN,0.7941463
263,ZSCAN5D,0.43894017
264,CCDC88C,0.7572065
265,EPGN,0.6744059
266,CDK11A,0.7662465
267,AC006538.4,0.5796894
268,XPNPEP3,0.7246606
269,PRICKLE3,0.75781447
270,FAM200A,0.7063541
271,LRP10,0.7926834
272,KRT12,0.3003133
273,PRKACB,0.73256415
274,AC007956.1,0.22425254
275,VBP1,0.78283024
276,TGM4,0.35908663
277,THOC3,0.7874641
278,DLEU1,0.74622256
279,FBXL20,0.6871407
280,PCYOX1,0.77921677
281,ZFPL1,0.77985245
282,DDAH2,0.7746965
283,ACTN1,0.8013518
284,IL18R1,0.6255302
285,WNK2,0.693234
286,CPOX,0.7514639
287,UBE3B,0.7617152
288,ZNRF3,0.68172103
289,ANGEL2,0.7399585
290,SCGB3A1,0.5944366
291,PPAP2A,0.76971227
292,PSMG1,0.8403334
293,DHX15,0.79301995
294,AC140481.2,0.09298404
295,PRSS36,0.64525205
296,FAM175A,0.6663654
297,HOXB8,0.35515192
298,ADCY5,0.52698153
299,GPRC5A,0.7738993
300,FAM135B,0.29536363
301,CD36,0.7184849
302,CXorf40B,0.773037
303,TMEM252,0.20541579
304,DMP1,0.2098481
305,TGM1,0.7889881
306,HTR2B,0.37915054
307,LRRC8E,0.74631006
308,LEF1,0.7234486
309,TMEM164,0.7550599
310,CLEC1B,0.29403183
311,BTG2,0.7811044
312,DOCK8,0.687365
313,DNAJB2,0.7760222
314,CCDC93,0.7330506
315,RFWD2,0.7789986
316,RPL10,0.66275567
317,IKZF5,0.7208081
318,C9orf139,0.25082022
319,SPEG,0.7090361
320,CCDC155,0.2759687
321,ACVR2B,0.5884268
322,NDUFB1,0.792316
323,ETV7,0.72166157
324,SHC2,0.68195957
325,NHLRC3,0.70927435
326,PDGFRL,0.70605683
327,YAP1,0.7885594
328,ACTL8,0.36953422
329,KLK2,0.32297152
330,PGBD2,0.69143873
331,C1orf134,0.4146118
332,GALNT10,0.7598233
333,LIN7B,0.72533745
334,C4orf29,0.68053526
335,TMEM170A,0.7371138
336,LGMN,0.79675794
337,CCDC116,1.6542021
338,AFM,0.08416935
339,SYPL1,0.79559207
340,FANCE,0.74472404
341,TOR1B,0.7608042
342,TMEM115,0.7762812
343,MAGEB1,0.35698393
344,SLURP1,0.7398605
345,RNF151,0.43611374
346,CA6,0.27569076
347,GAS2,0.3278722
348,AL136115.1,0.32070428
349,HNRNPH1,0.85760814
350,CIB3,0.29332447
351,TSNAX-DISC1,0.1703586
352,PTGDR2,0.2771531
353,RDH8,0.2748996
354,ASXL3,0.2308268
355,BCAS3,0.75187045
356,NOS1AP,0.6448475
357,CCNK,0.78390735
358,RBM10,0.7850957
359,PDE4B,0.7023232
360,ZNF736,0.5885085
361,NT5E,0.74303794
