,x,0
16350,UBA1,2.8115396
10117,EIF4B,2.8117933
2686,IGFBP5,2.8126416
2848,SEPT2,2.8133636
16706,FHL1,2.815458
16453,MSN,2.818733
16126,CYB5R3,2.8194985
14062,AES,2.8219833
9443,OMP,2.823056
4652,BTF3,2.8247213
13421,LUC7L3,2.8292744
16514,PGK1,2.8312473
14596,CAPNS1,2.832208
16330,DDX3X,2.8369448
6734,CALD1,2.8373349
3178,GNAI2,2.8383172
688,SRSF11,2.839473
13028,WSB1,2.8413894
7657,ZFAND5,2.8428683
1076,S100A6,2.8459003
10950,HNRNPC,2.846135
3899,WDR1,2.8484883
12815,KIF1C,2.849118
14533,GPI,2.8526273
11853,MORF4L1,2.8532398
9261,FAU,2.8538725
9387,NUMA1,2.8542593
15421,RBM39,2.8553503
11690,ANXA2,2.8555455
9198,SLC22A6,2.855668
5444,PRRC2A,2.8563454
11697,TPM1,2.8586373
5907,SERINC1,2.8593442
3877,MRFAP1,2.8595407
12810,PFN1,2.8600323
4847,SKP1,2.862833
5820,PNISR,2.8659766
1974,EPAS1,2.8676229
5415,TUBB,2.868089
15711,SON,2.8763118
1158,LMNA,2.8770394
13471,CLTC,2.878343
14242,ILF3,2.8786094
15025,PPP2R1A,2.8789341
12905,PER1,2.8802536
5578,MTCH1,2.8808699
10249,CTDSP2,2.8819206
8587,MGEA5,2.882662
6395,EIF4H,2.8837628
5509,BRD2,2.884722
16419,HUWE1,2.8860888
14314,CALR,2.887571
9931,LDHB,2.889977
10459,ATP2A2,2.8905663
13254,PTRF,2.8917396
27,CCNL2,2.8942587
9099,SERPING1,2.8981435
9746,WNK1,2.8988574
3040,CTNNB1,2.9000201
2157,MAT2A,2.9017212
4193,UBE2D3,2.9017437
2646,EEF1B2,2.9029953
3482,RAB7A,2.903208
1225,PEA15,2.9079275
15485,YWHAB,2.909687
1611,CAPN2,2.9100835
474,CAP1,2.9110065
198,UBR4,2.9123597
13253,STAT3,2.913426
646,JUN,2.914145
1215,TAGLN2,2.9146996
12855,GABARAP,2.9165382
12678,COX4I1,2.9172418
13542,PRKAR1A,2.9190137
6151,RAC1,2.9191241
10911,LAMP1,2.9194067
13206,IGFBP4,2.9195056
13561,RPL38,2.9237928
1515,NUCKS1,2.924225
16089,ST13,2.9245093
10004,SLC38A2,2.924601
76,RPL22,2.9279797
1112,ADAR,2.9284348
7870,STOM,2.9289696
14120,RPL36,2.9303305
14847,CALM3,2.9304626
16184,PLXNB2,2.9311223
10982,PABPN1,2.9343243
2152,TGOLN2,2.934505
14910,NUCB1,2.9347677
10757,TSC22D1,2.9355097
12062,PKD1,2.9356773
16106,XRCC6,2.936886
14190,RPS28,2.9372885
13749,MYL12B,2.9386263
10140,CALCOCO1,2.9391248
16780,GDI1,2.9405224
1342,PRDX6,2.9407344
16483,NONO,2.9409714
225,HP1BP3,2.9413922
13164,MLLT6,2.9415448
9870,YBX3,2.9438784
5435,DDX39B,2.9444954
2693,ARPC2,2.9464958
10477,ALDH2,2.947277
10943,NDRG2,2.9472911
14032,MKNK2,2.94873
10698,HMGB1,2.9500046
3226,NISCH,2.9530575
1959,ZFP36L2,2.9550958
100,RERE,2.9556646
14304,JUNB,2.9573383
2615,CFLAR,2.9577675
13054,RPL23A,2.9579113
1100,TPM3,2.9585702
4255,ANXA5,2.959746
1895,PPP1CB,2.9645586
1645,GUK1,2.9651294
2113,DCTN1,2.96831
5445,BAG6,2.9691267
5047,ANXA6,2.9692104
16724,IDS,2.969222
2206,SNRNP200,2.972816
10964,LRP10,2.9749365
15791,PTTG1IP,2.975633
204,CAPZB,2.9765525
6796,ZYX,2.9781199
1816,LAPTM4A,2.9821997
15935,EWSR1,2.9829443
11271,FOS,2.982991
1846,HADHA,2.98301
1893,FOSL2,2.9844644
10537,RNF10,2.9847739
13609,WBP2,2.9852607
10127,PFDN5,2.9855776
8678,EIF3A,2.9858038
2697,TMBIM1,2.9868186
9106,CTNND1,2.9879313
10599,NCOR2,2.9883127
9349,GSTP1,2.9894416
11087,RPS29,2.9897518
13642,SEPT9,2.992057
11209,ACTN1,2.99229
5021,CSNK1A1,2.9964116
9302,SF3B2,2.9966488
10178,RAB5B,2.9972432
7020,SARAF,2.997762
10082,DAZAP2,2.99807
8659,ABLIM1,2.9983528
4035,IGFBP7,2.9989865
11590,PDIA3,3.000526
7420,GRINA,3.0007348
14697,LTBP4,3.001678
3477,SEC61A1,3.004647
7293,EIF3E,3.0058548
16032,LGALS1,3.0063164
12988,FLII,3.007152
14425,JUND,3.0076852
7055,TACC1,3.0080528
15864,LRRC74B,3.0087643
13126,AP2B1,3.0105882
1779,YWHAQ,3.0113883
10207,PTGES3,3.0116735
15883,IGLL1,3.0140889
9146,DDB1,3.0150645
4585,IL6ST,3.0161476
15207,TRIM28,3.0169308
11270,TMED10,3.01711
9800,PTMS,3.017234
14241,SLC44A2,3.0188966
6559,GNB2,3.0196927
2681,XRCC5,3.0202038
623,TMEM59,3.0210042
14651,HNRNPL,3.023142
9792,CHD4,3.02369
13714,FASN,3.0237463
5571,SRSF3,3.0239806
679,SERBP1,3.0250292
8121,KLF6,3.0270624
12610,GLG1,3.0296361
16217,CD99,3.03007
3148,LAMB2,3.0301383
3751,BCL6,3.0304117
8406,VCL,3.0317967
3173,RBM6,3.0330544
5064,LARP1,3.033124
5557,FKBP5,3.0357747
12440,MT2A,3.0364077
15479,SERINC3,3.0388374
14689,PLD3,3.0388498
1542,CD46,3.040782
15613,RPS21,3.040897
9376,CTTN,3.04205
6480,COL1A2,3.042312
13426,NME2,3.0435715
10887,ARGLU1,3.0441675
14068,NFIC,3.0443287
7949,SET,3.0449388
8241,ITGB1,3.045481
2995,CRTAP,3.0466895
9474,PICALM,3.046796
16584,MORF4L2,3.0478218
14262,PRKCSH,3.04795
14233,CDC37,3.0492206
14710,HNRNPUL1,3.0500996
2871,BHLHE40,3.0502698
5416,FLOT1,3.0504897
1181,HDGF,3.0510745
429,MAP7D1,3.0516493
13996,TMEM259,3.0519154
14447,SUGP2,3.0527918
3047,NKTR,3.0531838
4737,CAST,3.0537019
16187,SBF1,3.0556297
8774,RNH1,3.0557137
6418,YWHAG,3.0581906
14195,HNRNPM,3.0600436
