9863,SRY,0.0057600965
952,NKX1-1,0.0065142293
10729,PRAMEF15,0.008932475
16547,PRAMEF9,0.008932475
15019,PRAMEF20,0.0099226
8538,UNCX,0.010727218
19027,PYDC2,0.011504345
13398,PRAMEF5,0.011830729
10162,PRAMEF17,0.012738299
19630,HES3,0.014115903
5734,ZIM3,0.0146180205
9358,TBL1Y,0.015042753
4699,ONECUT3,0.015317844
17460,PRAMEF19,0.017421909
4826,PRAMEF4,0.018682228
10560,FOXB2,0.019398112
19350,PRAMEF11,0.01962493
1304,ANHX,0.019837027
17650,NOBOX,0.023438629
1860,CDX4,0.023526687
8890,SKOR2,0.024486465
13876,SSX7,0.024597406
11122,NKX2-4,0.024701256
13246,PRAMEF6,0.030465554
7858,ATOH1,0.032863982
10625,ZNF479,0.033511292
5290,NKX6-2,0.03718601
9138,FSHB,0.03832608
1809,MYF5,0.038668476
14282,PRAMEF2,0.04211677
6188,TPRX1,0.042207915
7635,ZNF705B,0.044564776
4172,FOXR2,0.045407653
4483,SOX1,0.04640889
10607,TFAP2D,0.049949612
12698,PRAMEF14,0.050044727
15015,BMP10,0.051780798
9683,DBX1,0.052031327
6541,LEUTX,0.052098557
233,PAX4,0.05276017
8733,CRX,0.053511437
15587,BHLHA9,0.055037577
13579,POU4F2,0.05565868
15707,NKX2-6,0.056398373
9542,PRDM9,0.05683885
8937,ATP1B4,0.05780986
5552,HMGB4,0.058028765
10178,PTH,0.060578335
1022,ACTRT1,0.061394345
10779,PRAMEF1,0.0651961
8354,PHOX2B,0.06531109
7898,PRDM14,0.06596345
6611,MORC1,0.066756174
7889,ZNF705D,0.06724055
4469,SIX6,0.06868016
9969,SP8,0.07153155
3976,FERD3L,0.07233666
7835,MYOD1,0.07319243
7704,SAMD7,0.073644094
13210,TAF1L,0.07462431
15900,SHOX,0.07468889
298,DMRTB1,0.07475718
13393,PROP1,0.075315125
4048,BMP15,0.07884897
19353,CER1,0.079113044
2171,BARHL2,0.07921598
5643,CTCFL,0.07929354
5230,NOTO,0.07969648
9100,VGLL2,0.08012877
4056,PSMB11,0.080166794
4032,FGF4,0.08225204
5254,RBPJL,0.08225615
1013,RHOXF2,0.08316097
3239,FOXB1,0.084222846
2186,GBX1,0.084248364
14136,SSX4,0.085828476
2584,DRGX,0.086286135
19118,NKX2-1,0.08630408
8871,TGIF2LX,0.086619206
13934,TRIML1,0.08668962
11658,ZNF716,0.08713139
9634,RAX,0.08716744
14349,SOX14,0.08768452
6397,PASD1,0.08880004
9469,GSC2,0.08990827
2103,FOXR1,0.090393506
6090,PRAMEF12,0.09043919
16345,DUXA,0.09151153
90,GALR3,0.09178069
11189,IL17F,0.092342705
17632,POU3F4,0.0924051
10972,IFNK,0.09264951
7601,GALR1,0.09322151
1365,SSX3,0.09376852
19410,HOXD12,0.09380508
2394,CRNN,0.09419198
17925,SPZ1,0.09422995
18681,INSM2,0.095354825
16103,GSX2,0.09547765
16705,PTF1A,0.095867835
8377,OLIG2,0.09634593
6395,HAND1,0.09672794
16717,DRD3,0.09686253
7788,PRAMEF7,0.09688584
5410,AGTR2,0.09732106
18956,ABRA,0.09778886
16492,FOXA2,0.097846076
11011,APOBEC1,0.09823304
1015,ESX1,0.0993855
8157,LBX1,0.09948135
8599,VRTN,0.09965553
18467,IL17A,0.099915735
16044,LHX5,0.10069798
8849,RAX2,0.100851424
17729,HDGFL1,0.100953996
14574,WNT8A,0.10147451
12791,DPRX,0.10280419
8633,ZNF668,0.102855615
15295,ZFY,0.103018254
6246,BARHL1,0.10321936
4179,SCRT2,0.103227615
12074,PDX1,0.10331533
11036,ZNF679,0.1033915
19458,RFPL4AL1,0.103433184
13471,NEUROD2,0.10355344
12772,DNMT3L,0.10359573
3525,ISX,0.104235515
18077,HNF1B,0.10452756
4493,FEV,0.10462995
11856,HNF4A,0.10700329
7542,ONECUT1,0.1071596
717,RHOXF2B,0.10788124
12195,INS,0.108107775
19310,CDX2,0.10842838
19278,EVX2,0.10856585
7038,RIT2,0.10947708
17186,SSX2,0.11084714
7567,UTF1,0.11111432
9163,ANKRD33,0.11177548
18005,OTP,0.112377204
10600,PHOX2A,0.11342269
6343,FEZF2,0.11473527
18442,WNT1,0.114908926
16478,MYF6,0.1151501
17708,NR1H4,0.115657434
11967,RFPL3,0.116693966
14450,OLIG3,0.11758
2745,PAGE4,0.11814556
12350,IL4,0.118206985
747,ZSCAN10,0.118930615
15523,ASCL3,0.119562835
13141,CSRP3,0.120400876
3789,NANOGNB,0.12064518
13616,TCF21,0.12101786
14207,EPHA5,0.12167181
8434,NOS1,0.12227553
3411,TBR1,0.12280041
12431,PRDM7,0.1233789
6791,LHX3,0.12340984
5377,SSX1,0.12487463
5837,SSX5,0.12507255
15985,VSX2,0.12536146
14107,POU3F2,0.12600268
13170,SALL3,0.12603025
15642,SSX4B,0.12608303
2685,CTAG1B,0.12646057
828,VAX1,0.12680833
1476,TNP1,0.127126
8811,ZIC3,0.12776758
17482,FOXE1,0.12833925
16542,ACTL6B,0.12856975
9792,WNT7A,0.12866655
18153,NEUROD1,0.12897575
19052,GCM2,0.1296225
8794,NEUROD4,0.1299971
15516,IL26,0.13236962
13957,RFX4,0.13313615
15122,ZSCAN4,0.13470666
9507,ZBTB8B,0.13478759
15120,AIRE,0.13486814
15349,MYT1L,0.1357784
588,RFPL4A,0.13601921
10326,ZNF705A,0.13730592
14523,KDM5D,0.13857915
13421,NKX6-3,0.13961537
679,SOX3,0.13967542
8398,IHH,0.13985147
1442,SP7,0.14000736
9591,FOXG1,0.14036696
13801,POU1F1,0.14051121
13468,ZNF280A,0.14062713
12920,NR0B2,0.14092743
16496,NKX2-3,0.14120388
11769,ZNF536,0.1421744
7731,IL25,0.14268346
5566,FOXD4L5,0.14320558
17834,GDF7,0.14451787
4932,HELT,0.14526293
6734,SOST,0.14673957
15959,ADCY8,0.14784695
574,NR5A1,0.14855514
6849,POU5F2,0.15075263
6330,ZNF560,0.15262496
7031,NEUROG3,0.15288717
12031,DMRTA2,0.15327053
19406,FOXD4L6,0.15417595
8038,TLX3,0.15483178
8774,FEZF1,0.15689391
8962,ZSCAN5B,0.158464
17346,CELA1,0.15868506
6365,CHP2,0.15982093
14919,MSGN1,0.16103967
2312,ZFP42,0.16137402
